Ticker,Score,Months,Value,Values
CSCO,1.0409,71,1.2601,0.99092|0.99563|1.00208|1.01043|1.01815|1.027|1.03797|1.05|1.05897|1.06766|1.07765|1.08595|1.0943|1.10154|1.10767|1.11566|1.12275|1.12744|1.13288|1.1371|1.1455|1.1544|1.16605|1.17924|1.19141|1.20352|1.21376|1.22251|1.23097|1.23889|1.24381|1.24752|1.2509|1.25455|1.25826|1.2601
PFE,1.0187,71,1.12905,0.99244|0.99718|1.00007|1.00148|1.00309|1.00377|1.00398|1.00509|1.00709|1.00972|1.01149|1.01173|1.01301|1.01399|1.01581|1.02006|1.02589|1.03085|1.03469|1.03878|1.04485|1.05036|1.05738|1.06379|1.06974|1.07445|1.07802|1.08208|1.08709|1.09203|1.09773|1.10277|1.10908|1.11399|1.12034|1.12905
T,1.0147,71,1.08052,0.99065|0.9906|0.98941|0.98911|0.99042|0.98932|0.99|0.99203|0.99485|0.99764|0.9994|1.00231|1.00558|1.00854|1.01137|1.01499|1.02056|1.02523|1.02885|1.03373|1.0379|1.041|1.04477|1.04925|1.05231|1.05524|1.05821|1.06119|1.06297|1.06447|1.06673|1.06818|1.07051|1.07304|1.07654|1.08052
WFC,1.0636,71,1.42926,0.99621|1.01018|1.02145|1.03212|1.04171|1.05185|1.06167|1.07205|1.08294|1.09429|1.10807|1.12233|1.13444|1.14453|1.15453|1.16542|1.17752|1.19166|1.20588|1.21869|1.23359|1.24807|1.26278|1.27744|1.29237|1.30693|1.32059|1.33358|1.34747|1.361|1.37496|1.38786|1.39886|1.40888|1.42035|1.42926
MRK,1.0202,71,1.15659,0.99316|0.9992|1.00464|1.00883|1.01359|1.01511|1.01567|1.01754|1.01918|1.02281|1.02486|1.02697|1.02945|1.03163|1.03417|1.03866|1.04304|1.04593|1.0473|1.04738|1.04896|1.05071|1.05609|1.0624|1.06836|1.0755|1.08166|1.08956|1.09931|1.11067|1.12196|1.1306|1.13669|1.14321|1.1502|1.15659
MA,1.4482,71,4.46288,1.01691|1.0774|1.13781|1.19764|1.26075|1.32507|1.38248|1.44199|1.50722|1.56222|1.62433|1.68257|1.71013|1.74322|1.80199|1.88306|1.96578|2.05148|2.14226|2.23361|2.32644|2.41034|2.49834|2.58913|2.70254|2.83173|2.96808|3.10178|3.25214|3.41232|3.57734|3.74308|3.91674|4.09235|4.28647|4.46288
HD,1.165,71,2.15343,0.99677|1.01177|1.02752|1.04527|1.06352|1.08439|1.10511|1.12703|1.14872|1.17104|1.19453|1.21884|1.24227|1.26753|1.29362|1.32337|1.3561|1.39238|1.43062|1.46873|1.50756|1.54595|1.5866|1.62785|1.67168|1.71484|1.75576|1.7958|1.83264|1.86997|1.91056|1.95416|2.00195|2.04998|2.10149|2.15343
BA,1.1479,71,2.04705,1.00221|1.03016|1.05942|1.08944|1.11863|1.14786|1.17781|1.20842|1.23591|1.26498|1.29635|1.3281|1.35807|1.38346|1.40614|1.42727|1.45051|1.47444|1.49921|1.52509|1.55719|1.58567|1.6168|1.65023|1.6883|1.72562|1.76082|1.79412|1.82539|1.85922|1.89394|1.92837|1.96171|1.99|2.01846|2.04705
CMCSA,1.1263,71,1.86672,0.99416|1.00676|1.02251|1.03774|1.05274|1.06626|1.08084|1.09691|1.11291|1.12961|1.1485|1.16868|1.19019|1.21295|1.23617|1.26088|1.28686|1.31288|1.33946|1.36502|1.39244|1.41992|1.45087|1.48201|1.51294|1.54539|1.5777|1.61111|1.64463|1.67631|1.70673|1.73752|1.76911|1.80077|1.83387|1.86672
KO,1.0451,71,1.32295,0.99573|1.00339|1.01135|1.01759|1.02374|1.02812|1.03254|1.03886|1.0461|1.05384|1.06188|1.07032|1.07885|1.08589|1.09168|1.09841|1.10622|1.1149|1.12495|1.13505|1.14465|1.15376|1.16397|1.17381|1.18384|1.19446|1.20492|1.21633|1.22939|1.2425|1.25475|1.26691|1.27972|1.29254|1.30732|1.32295
DIS,1.1491,71,2.01956,0.99735|1.01228|1.0275|1.04215|1.05685|1.0732|1.09224|1.11161|1.13184|1.15255|1.17643|1.20189|1.22762|1.25311|1.27666|1.30115|1.32922|1.35961|1.39136|1.42523|1.46132|1.49669|1.53316|1.57057|1.60856|1.64527|1.68174|1.71924|1.758|1.7969|1.83611|1.87453|1.91142|1.94637|1.98228|2.01956
PEP,1.0597,71,1.40929,0.99893|1.01127|1.02268|1.0328|1.04313|1.05184|1.06138|1.07178|1.08283|1.09378|1.10468|1.11506|1.12559|1.13525|1.14418|1.15597|1.16961|1.18217|1.19581|1.21006|1.22383|1.23638|1.2502|1.26372|1.27764|1.29043|1.30265|1.31525|1.32881|1.34162|1.35321|1.36433|1.37553|1.38653|1.3985|1.40929
NFLX,2.0876,71,10.34141,1.02319|1.11849|1.23107|1.36017|1.50227|1.64792|1.79855|1.941|2.06123|2.16086|2.24223|2.32793|2.41873|2.52597|2.67192|2.86378|3.062|3.24752|3.45001|3.67085|3.88058|4.09123|4.2866|4.5|4.72455|4.9646|5.25555|5.58143|5.96821|6.41213|6.92971|7.52778|8.24156|9.00092|9.72256|10.34141
C,1.0269,1,0.98564,0.98564|0.98342|0.98023|0.97986|0.97609|0.973|0.97417|0.97349|0.97348|0.97075|0.96882|0.96437|0.95745|0.94862|0.93948|0.93272|0.92975|0.92636|0.92132|0.91483|0.91149|0.90786|0.90525|0.90211|0.89504|0.88757|0.87913|0.87087|0.86148|0.85111|0.83989|0.8294|0.8182|0.80598|0.7931|0.77668
WMT,1.0264,71,1.20632,0.99445|1.00162|1.00813|1.01424|1.02079|1.02741|1.0332|1.04072|1.04769|1.05384|1.06003|1.06578|1.07012|1.07214|1.07558|1.08031|1.08568|1.09002|1.09472|1.09846|1.09982|1.10149|1.10462|1.10904|1.11527|1.12214|1.12876|1.13503|1.14191|1.14923|1.15652|1.16472|1.17498|1.185|1.19609|1.20632
MCD,1.145,71,2.01799,0.99976|1.01826|1.03678|1.05637|1.07644|1.09653|1.11629|1.13816|1.16111|1.1845|1.20909|1.23426|1.25868|1.28281|1.30621|1.33087|1.35932|1.39008|1.42175|1.45418|1.4868|1.51761|1.54959|1.58197|1.61509|1.64768|1.68087|1.71658|1.75306|1.78911|1.82547|1.8616|1.90011|1.93847|1.97729|2.01799
ABT,1.0662,71,1.48056,0.99985|1.01646|1.03108|1.04531|1.0596|1.0715|1.08424|1.09739|1.11022|1.12222|1.13335|1.14232|1.1507|1.15811|1.1655|1.17797|1.1905|1.20066|1.21335|1.22606|1.24122|1.25593|1.27435|1.29138|1.30798|1.32492|1.34036|1.35621|1.3726|1.38832|1.40241|1.41683|1.43204|1.44533|1.4608|1.48056
