Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MDR","MCDERMOTT INTERNATIONAL INC","Equity","0.08","7.45","5,210,158.00","38,815,677.10","38,815,677.10","Energy","BD9NR98","PAL1201471A1","New York Stock Exchange Inc."
"BID","SOTHEBYS","Equity","0.08","40.34","947,423.00","38,219,043.82","38,219,043.82","Consumer Discretionary","2822406","US8358981079","New York Stock Exchange Inc."
"RLGY","REALOGY HOLDINGS CORP","Equity","0.08","11.61","3,271,538.00","37,982,556.18","37,982,556.18","Real Estate","B5T0CW1","US75605Y1064","New York Stock Exchange Inc."
"TUP","TUPPERWARE BRANDS CORP","Equity","0.08","25.88","1,405,752.00","36,380,861.76","36,380,861.76","Consumer Discretionary","2872069","US8998961044","New York Stock Exchange Inc."
"PBI","PITNEY BOWES INC","Equity","0.08","6.76","5,375,684.00","36,339,623.84","36,339,623.84","Industrials","2690506","US7244791007","New York Stock Exchange Inc."
"SGMS","SCIENTIFIC GAMES CORP","Equity","0.07","22.16","1,585,989.00","35,145,516.24","35,145,516.24","Consumer Discretionary","2919290","US80874P1093","NASDAQ"
"ADNT","ADIENT PLC","Equity","0.07","13.47","2,506,027.00","33,756,183.69","33,756,183.69","Consumer Discretionary","BD845X2","IE00BD845X29","New York Stock Exchange Inc."
"SYNA","SYNAPTICS INC","Equity","0.07","33.65","987,287.00","33,222,207.55","33,222,207.55","Information Technology","2839268","US87157D1090","NASDAQ"
"GEF","GREIF INC CLASS A","Equity","0.06","41.45","756,220.00","31,345,319.00","31,345,319.00","Materials","2388016","US3976241071","New York Stock Exchange Inc."
"MIK","MICHAELS COMPANIES INC","Equity","0.06","11.92","2,563,761.00","30,560,031.12","30,560,031.12","Consumer Discretionary","BNG83R6","US59408Q1067","NASDAQ"
"PZZA","PAPA JOHNS INTERNATIONAL INC","Equity","0.06","46.89","650,085.00","30,482,485.65","30,482,485.65","Consumer Discretionary","2696117","US6988131024","NASDAQ"
"ISCA","INTERNATIONAL SPEEDWAY CORP CLASS","Equity","0.06","43.01","683,092.00","29,379,786.92","29,379,786.92","Consumer Discretionary","2478144","US4603352018","NASDAQ"
"TR","TOOTSIE ROLL INDUSTRIES INC","Equity","0.04","37.17","548,328.00","20,381,351.76","20,381,351.76","Consumer Staples","2896809","US8905161076","New York Stock Exchange Inc."
