Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"NSIT","INSIGHT ENTERPRISES INC","Equity","0.27","57.12","2,080,640.00","118,846,156.80","118,846,156.80","Information Technology","2475060","US45765U1034","NASDAQ"
"IOSP","INNOSPEC INC","Equity","0.27","83.03","1,427,992.00","118,566,175.76","118,566,175.76","Materials","2245597","US45768S1050","NASDAQ"
"FN","FABRINET","Equity","0.27","54.43","2,156,675.00","117,387,820.25","117,387,820.25","Information Technology","B4JSZL8","KYG3323L1005","New York Stock Exchange Inc."
"FELE","FRANKLIN ELECTRIC INC","Equity","0.27","52.06","2,250,984.00","117,186,227.04","117,186,227.04","Industrials","2350383","US3535141028","NASDAQ"
"EGHT","8X8 INC","Equity","0.27","20.86","5,606,335.00","116,948,148.10","116,948,148.10","Information Technology","2037170","US2829141009","New York Stock Exchange Inc."
"FCPT","FOUR CORNERS PROPERTY INC TRUST","Equity","0.27","29.21","3,986,529.00","116,446,512.09","116,446,512.09","Real Estate","BZ16HK0","US35086T1097","New York Stock Exchange Inc."
"LAD","LITHIA MOTORS INC CLASS A","Equity","0.27","88.85","1,309,848.00","116,379,994.80","116,379,994.80","Consumer Discretionary","2515030","US5367971034","New York Stock Exchange Inc."
"PLXS","PLEXUS CORP","Equity","0.27","64.06","1,812,125.00","116,084,727.50","116,084,727.50","Information Technology","2692160","US7291321005","NASDAQ"
"SUPN","SUPERNUS PHARMACEUTICALS INC","Equity","0.27","37.79","3,054,538.00","115,430,991.02","115,430,991.02","Health Care","B72ZBG4","US8684591089","NASDAQ"
"VG","VONAGE HOLDINGS CORP","Equity","0.26","10.10","11,369,227.00","114,829,192.70","114,829,192.70","Communication","B15JLG1","US92886T2015","New York Stock Exchange Inc."
"SPSC","SPS COMMERCE INC","Equity","0.26","110.28","1,034,742.00","114,111,347.76","114,111,347.76","Information Technology","B57VWJ3","US78463M1071","NASDAQ"
"ROIC","RETAIL OPPORTUNITY INVESTMENTS REI","Equity","0.26","17.07","6,681,393.00","114,051,378.51","114,051,378.51","Real Estate","B28YD08","US76131N1019","NASDAQ"
"FIX","COMFORT SYSTEMS USA INC","Equity","0.26","52.37","2,161,177.00","113,180,839.49","113,180,839.49","Industrials","2036047","US1999081045","New York Stock Exchange Inc."
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Equity","0.26","50.72","2,228,191.00","113,013,847.52","113,013,847.52","Information Technology","2049175","US0079731008","NASDAQ"
"ODP","OFFICE DEPOT INC","Equity","0.26","3.58","31,546,530.00","112,936,577.40","112,936,577.40","Consumer Discretionary","2655981","US6762201068","NASDAQ"
"LXP","LEXINGTON REALTY TRUST REIT","Equity","0.26","9.21","12,260,875.00","112,922,658.75","112,922,658.75","Real Estate","2139151","US5290431015","New York Stock Exchange Inc."
"LTHM","LIVENT CORP","Equity","0.26","13.29","8,491,924.00","112,857,669.96","112,857,669.96","Materials","BD9PM00","US53814L1089","New York Stock Exchange Inc."
"PRA","PROASSURANCE CORP","Equity","0.26","36.02","3,117,913.00","112,307,226.26","112,307,226.26","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"NWN","NORTHWEST NATURAL HOLDING COMPANY","Equity","0.26","66.23","1,694,025.00","112,195,275.75","112,195,275.75","Utilities","BFNR303","US66765N1054","New York Stock Exchange Inc."
"LCII","LCI INDUSTRIES","Equity","0.26","77.19","1,453,388.00","112,187,019.72","112,187,019.72","Consumer Discretionary","BYQ44Y5","US50189K1034","New York Stock Exchange Inc."
"EPAY","BOTTOMLINE TECHNOLOGIES INC","Equity","0.26","50.81","2,196,356.00","111,596,848.36","111,596,848.36","Information Technology","2389558","US1013881065","NASDAQ"
"RGNX","REGENXBIO INC","Equity","0.26","62.45","1,784,372.00","111,434,031.40","111,434,031.40","Health Care","BZ0G875","US75901B1070","NASDAQ"
"HF","HFF INC CLASS A","Equity","0.25","47.92","2,302,060.00","110,314,715.20","110,314,715.20","Real Estate","B1Q1RT1","US40418F1084","New York Stock Exchange Inc."
"NEO","NEOGENOMICS INC","Equity","0.25","19.84","5,540,622.00","109,925,940.48","109,925,940.48","Health Care","2598246","US64049M2098","NASDAQ"
"UFPI","UNIVERSAL FOREST PRODUCTS INC","Equity","0.25","30.85","3,560,805.00","109,850,834.25","109,850,834.25","Industrials","2906496","US9135431040","NASDAQ"
"ESE","ESCO TECHNOLOGIES INC","Equity","0.25","70.88","1,519,192.00","107,680,328.96","107,680,328.96","Industrials","2321583","US2963151046","New York Stock Exchange Inc."
"MDCO","MEDICINES","Equity","0.25","28.02","3,842,433.00","107,664,972.66","107,664,972.66","Health Care","2616773","US5846881051","NASDAQ"
"PLAY","DAVE AND BUSTERS ENTERTAINMENT INC","Equity","0.25","47.16","2,266,010.00","106,865,031.60","106,865,031.60","Consumer Discretionary","B8SW166","US2383371091","NASDAQ"
"GWB","GREAT WESTERN BANCORP INC","Equity","0.25","32.20","3,317,678.00","106,829,231.60","106,829,231.60","Financials","BRHZ1X6","US3914161043","New York Stock Exchange Inc."
"FWRD","FORWARD AIR CORP","Equity","0.25","63.24","1,688,145.00","106,758,289.80","106,758,289.80","Industrials","2510790","US3498531017","NASDAQ"
"MLI","MUELLER INDUSTRIES INC","Equity","0.25","32.17","3,311,509.00","106,531,244.53","106,531,244.53","Industrials","2609717","US6247561029","New York Stock Exchange Inc."
"SCL","STEPAN","Equity","0.24","89.57","1,188,211.00","106,428,059.27","106,428,059.27","Materials","2845005","US8585861003","New York Stock Exchange Inc."
"LTC","LTC PROPERTIES REIT INC","Equity","0.24","45.44","2,328,846.00","105,822,762.24","105,822,762.24","Real Estate","2498788","US5021751020","New York Stock Exchange Inc."
"AAON","AAON INC","Equity","0.24","44.28","2,374,134.00","105,126,653.52","105,126,653.52","Industrials","2268130","US0003602069","NASDAQ"
"NMIH","NMI HOLDINGS INC CLASS A","Equity","0.24","26.47","3,896,077.00","103,129,158.19","103,129,158.19","Financials","BGDW5G5","US6292093050","NASDAQ"
"UCBI","UNITED COMMUNITY BANKS INC","Equity","0.24","24.90","4,140,451.00","103,097,229.90","103,097,229.90","Financials","2862156","US90984P3038","NASDAQ"
"HSC","HARSCO CORP","Equity","0.24","21.97","4,664,989.00","102,489,808.33","102,489,808.33","Industrials","2412700","US4158641070","New York Stock Exchange Inc."
"EVTC","EVERTEC INC","Equity","0.24","29.08","3,523,668.00","102,468,265.44","102,468,265.44","Information Technology","B7KY3Z6","PR30040P1032","New York Stock Exchange Inc."
"CHSP","CHESAPEAKE LODGING TRUST REIT","Equity","0.24","28.72","3,563,682.00","102,348,947.04","102,348,947.04","Real Estate","B4TC8L1","US1652401027","New York Stock Exchange Inc."
"LPSN","LIVEPERSON INC","Equity","0.24","29.60","3,450,174.00","102,125,150.40","102,125,150.40","Information Technology","2577052","US5381461012","NASDAQ"
"ENDP","ENDO INTERNATIONAL PLC","Equity","0.23","8.76","11,650,266.00","102,056,330.16","102,056,330.16","Health Care","BJ3V905","IE00BJ3V9050","NASDAQ"
"NWBI","NORTHWEST BANCSHARES INC","Equity","0.23","16.86","6,038,465.00","101,808,519.90","101,808,519.90","Financials","B523Z73","US6673401039","NASDAQ"
"AAT","AMERICAN ASSETS TRUST REIT INC","Equity","0.23","45.73","2,220,650.00","101,550,324.50","101,550,324.50","Real Estate","B3NTLD4","US0240131047","New York Stock Exchange Inc."
"FOE","FERRO CORP","Equity","0.23","20.96","4,834,058.00","101,321,855.68","101,321,855.68","Materials","2335001","US3154051003","New York Stock Exchange Inc."
"CROX","CROCS INC","Equity","0.23","25.83","3,911,351.00","101,030,196.33","101,030,196.33","Consumer Discretionary","B0T7Z62","US2270461096","NASDAQ"
"SEDG","SOLAREDGE TECHNOLOGIES INC","Equity","0.23","38.84","2,590,552.00","100,617,039.68","100,617,039.68","Information Technology","BWC52Q6","US83417M1045","NASDAQ"
"ITRI","ITRON INC","Equity","0.23","51.19","1,960,309.00","100,348,217.71","100,348,217.71","Information Technology","2471949","US4657411066","NASDAQ"
"DRQ","DRIL QUIP INC","Equity","0.23","46.96","2,130,134.00","100,031,092.64","100,031,092.64","Energy","2116767","US2620371045","New York Stock Exchange Inc."
"PRGS","PROGRESS SOFTWARE CORP","Equity","0.23","37.15","2,648,709.00","98,399,539.35","98,399,539.35","Information Technology","2705198","US7433121008","NASDAQ"
"BMI","BADGER METER INC","Equity","0.23","57.64","1,702,231.00","98,116,594.84","98,116,594.84","Information Technology","2069128","US0565251081","New York Stock Exchange Inc."
"ANF","ABERCROMBIE AND FITCH CLASS A","Equity","0.23","25.40","3,854,174.00","97,896,019.60","97,896,019.60","Consumer Discretionary","2004185","US0028962076","New York Stock Exchange Inc."
"BANR","BANNER CORP","Equity","0.22","53.60","1,822,360.00","97,678,496.00","97,678,496.00","Financials","2346003","US06652V2088","NASDAQ"
"CORE","CORE MARK HOLDING INC","Equity","0.22","36.15","2,691,084.00","97,282,686.60","97,282,686.60","Consumer Discretionary","B0637B2","US2186811046","NASDAQ"
"EGBN","EAGLE BANCORP INC","Equity","0.22","52.14","1,857,391.00","96,844,366.74","96,844,366.74","Financials","2648055","US2689481065","NASDAQ"
"AXE","ANIXTER INTERNATIONAL INC","Equity","0.22","57.43","1,679,809.00","96,471,430.87","96,471,430.87","Information Technology","2468844","US0352901054","New York Stock Exchange Inc."
"BCOR","BLUCORA INC","Equity","0.22","34.02","2,834,714.00","96,436,970.28","96,436,970.28","Financials","B8L2DV2","US0952291005","NASDAQ"
"CUB","CUBIC CORP","Equity","0.22","57.76","1,669,600.00","96,436,096.00","96,436,096.00","Industrials","2239266","US2296691064","New York Stock Exchange Inc."
"LTXB","LEGACYTEXAS FINANCIAL GROUP INC","Equity","0.22","36.46","2,641,303.00","96,301,907.38","96,301,907.38","Financials","BV2CL41","US52471Y1064","NASDAQ"
"KAMN","KAMAN CORP","Equity","0.22","58.70","1,635,237.00","95,988,411.90","95,988,411.90","Industrials","2483223","US4835481031","New York Stock Exchange Inc."
"GIII","G III APPAREL GROUP LTD","Equity","0.22","39.07","2,456,443.00","95,973,228.01","95,973,228.01","Consumer Discretionary","2369721","US36237H1014","NASDAQ"
"ALGT","ALLEGIANT TRAVEL","Equity","0.22","127.07","754,620.00","95,889,563.40","95,889,563.40","Industrials","B15M2C3","US01748X1028","NASDAQ"
"MXL","MAXLINEAR INC","Equity","0.22","25.81","3,712,341.00","95,815,521.21","95,815,521.21","Information Technology","B3RDWC8","US57776J1007","New York Stock Exchange Inc."
"WABC","WESTAMERICA BANCORPORATION","Equity","0.22","60.97","1,570,474.00","95,751,799.78","95,751,799.78","Financials","2950374","US9570901036","NASDAQ"
"PUMP","PROPETRO HOLDING CORP","Equity","0.22","22.10","4,329,494.00","95,681,817.40","95,681,817.40","Energy","BYXR9C0","US74347M1080","New York Stock Exchange Inc."
"BGS","B AND G FOODS INC","Equity","0.22","24.75","3,851,364.00","95,321,259.00","95,321,259.00","Consumer Staples","B034L49","US05508R1068","New York Stock Exchange Inc."
"NAVG","NAVIGATORS GROUP INC","Equity","0.22","69.84","1,356,906.00","94,766,315.04","94,766,315.04","Financials","2627850","US6389041020","NASDAQ"
"GNL","GLOBAL NET LEASE INC","Equity","0.22","19.11","4,919,980.00","94,020,817.80","94,020,817.80","Real Estate","BZCFW78","US3793782018","New York Stock Exchange Inc."
"AXL","AMERICAN AXLE AND MANUFACTURING HO","Equity","0.21","14.33","6,518,758.00","93,413,802.14","93,413,802.14","Consumer Discretionary","2382416","US0240611030","New York Stock Exchange Inc."
"PFS","PROVIDENT FINANCIAL SERVICES INC","Equity","0.21","26.05","3,573,153.00","93,080,635.65","93,080,635.65","Financials","2171603","US74386T1051","New York Stock Exchange Inc."
"AX","AXOS FINANCIAL INC","Equity","0.21","29.56","3,142,776.00","92,900,458.56","92,900,458.56","Financials","BGK38H3","US05465C1009","New York Stock Exchange Inc."
"NSA","NATIONAL STORAGE AFFILIATES TRUST","Equity","0.21","28.08","3,308,131.00","92,892,318.48","92,892,318.48","Real Estate","BWWCK85","US6378701063","New York Stock Exchange Inc."
"SEM","SELECT MEDICAL HOLDINGS CORP","Equity","0.21","14.52","6,349,991.00","92,201,869.32","92,201,869.32","Health Care","B4MF0Q6","US81619Q1058","New York Stock Exchange Inc."
"MED","MEDIFAST INC","Equity","0.21","131.91","696,555.00","91,882,570.05","91,882,570.05","Consumer Staples","2934033","US58470H1014","New York Stock Exchange Inc."
"ENTA","ENANTA PHARMACEUTICALS INC","Equity","0.21","99.66","921,196.00","91,806,393.36","91,806,393.36","Health Care","B9L5200","US29251M1062","NASDAQ"
