Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LBRDK","LIBERTY BROADBAND CORP SERIES C","Equity","0.09","93.28","240,667.00","22,449,417.76","22,449,417.76","Communication","BRTLC06","US5303073051","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","0.09","165.44","128,971.00","21,336,962.24","21,336,962.24","Communication","B7TL820","US30303M1027","NASDAQ"
"FOX","FOX CORP CLASS B","Equity","0.09","37.60","549,276.00","20,652,777.60","20,652,777.60","Communication","BJJMGY5","US35137L2043","NASDAQ"
"BFB","BROWN FORMAN CORP CLASS B","Equity","0.09","50.63","404,932.00","20,501,707.16","20,501,707.16","Consumer Staples","2146838","US1156372096","New York Stock Exchange Inc."
"REG","REGENCY CENTERS REIT CORP","Equity","0.08","64.81","289,841.00","18,784,595.21","18,784,595.21","Real Estate","2726177","US7588491032","NASDAQ"
"LLL","L3 TECHNOLOGIES INC","Equity","0.07","207.28","86,234.00","17,874,583.52","17,874,583.52","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"BLL","BALL CORP","Equity","0.07","58.12","305,188.00","17,737,526.56","17,737,526.56","Materials","2073022","US0584981064","New York Stock Exchange Inc."
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.07","243.98","70,772.00","17,266,952.56","17,266,952.56","Health Care","B01R258","US94946T1060","New York Stock Exchange Inc."
"INGR","INGREDION INC","Equity","0.07","93.71","183,536.00","17,199,158.56","17,199,158.56","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.07","107.92","155,404.00","16,771,199.68","16,771,199.68","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"MTN","VAIL RESORTS INC","Equity","0.07","210.15","79,226.00","16,649,343.90","16,649,343.90","Consumer Discretionary","2954194","US91879Q1094","New York Stock Exchange Inc."
"CDK","CDK GLOBAL INC","Equity","0.07","56.88","284,511.00","16,182,985.68","16,182,985.68","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"EIX","EDISON INTERNATIONAL","Equity","0.07","63.29","253,694.00","16,056,293.26","16,056,293.26","Utilities","2829515","US2810201077","New York Stock Exchange Inc."
"VAR","VARIAN MEDICAL SYSTEMS INC","Equity","0.07","135.82","117,012.00","15,892,569.84","15,892,569.84","Health Care","2927516","US92220P1057","New York Stock Exchange Inc."
"JWN","NORDSTROM INC","Equity","0.07","43.45","360,175.00","15,649,603.75","15,649,603.75","Consumer Discretionary","2641827","US6556641008","New York Stock Exchange Inc."
"PPL","PPL CORP","Equity","0.06","32.11","480,244.00","15,420,634.84","15,420,634.84","Utilities","2680905","US69351T1060","New York Stock Exchange Inc."
"EBAY","EBAY INC","Equity","0.06","36.70","415,092.00","15,233,876.40","15,233,876.40","Consumer Discretionary","2293819","US2786421030","NASDAQ"
"DTE","DTE ENERGY","Equity","0.06","122.40","124,186.00","15,200,366.40","15,200,366.40","Utilities","2280220","US2333311072","New York Stock Exchange Inc."
"DLTR","DOLLAR TREE INC","Equity","0.06","101.35","143,663.00","14,560,245.05","14,560,245.05","Consumer Discretionary","2272476","US2567461080","NASDAQ"
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.06","131.89","109,635.00","14,459,760.15","14,459,760.15","Real Estate","2019479","US1011211018","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","0.06","125.05","113,292.00","14,167,164.60","14,167,164.60","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"EXR","EXTRA SPACE STORAGE REIT INC","Equity","0.06","99.27","142,230.00","14,119,172.10","14,119,172.10","Real Estate","B02HWR9","US30225T1025","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","0.06","48.29","290,308.00","14,018,973.32","14,018,973.32","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"AWK","AMERICAN WATER WORKS INC","Equity","0.06","104.69","133,491.00","13,975,172.79","13,975,172.79","Utilities","B2R3PV1","US0304201033","New York Stock Exchange Inc."
"DELL","DELL TECHNOLOGIES INC CLASS C","Equity","0.06","59.63","232,817.00","13,882,877.71","13,882,877.71","Information Technology","BHKD3S6","US24703L2025","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENT INC","Equity","0.06","109.63","121,871.00","13,360,717.73","13,360,717.73","Information Technology","2885409","US8825081040","NASDAQ"
"DLR","DIGITAL REALTY TRUST REIT INC","Equity","0.06","116.57","114,401.00","13,335,724.57","13,335,724.57","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"ZBH","ZIMMER BIOMET HOLDINGS INC","Equity","0.06","127.43","104,431.00","13,307,642.33","13,307,642.33","Health Care","2783815","US98956P1021","New York Stock Exchange Inc."
"TSN","TYSON FOODS INC CLASS A","Equity","0.05","64.88","202,294.00","13,124,834.72","13,124,834.72","Consumer Staples","2909730","US9024941034","New York Stock Exchange Inc."
"BG","BUNGE LTD","Equity","0.05","51.41","253,148.00","13,014,338.68","13,014,338.68","Consumer Staples","2788713","BMG169621056","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.05","48.23","265,835.00","12,821,222.05","12,821,222.05","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.05","608.41","20,172.00","12,272,846.52","12,272,846.52","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"TSCO","TRACTOR SUPPLY","Equity","0.05","91.08","133,638.00","12,171,749.04","12,171,749.04","Consumer Discretionary","2900335","US8923561067","NASDAQ"
"CERN","CERNER CORP","Equity","0.05","57.60","208,273.00","11,996,524.80","11,996,524.80","Health Care","2185284","US1567821046","NASDAQ"
"JNPR","JUNIPER NETWORKS INC","Equity","0.05","26.22","436,890.00","11,455,255.80","11,455,255.80","Information Technology","2431846","US48203R1041","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.05","48.02","229,963.00","11,042,823.26","11,042,823.26","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"CBS","CBS CORP CLASS B","Equity","0.04","46.16","221,600.00","10,229,056.00","10,229,056.00","Communication","B0SRLH6","US1248572026","New York Stock Exchange Inc."
