Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"DWDP","DOWDUPONT INC","Equity","0.54","55.26","15,636,096.00","864,050,664.96","864,050,664.96","Materials","BYP66M4","US26078J1007","New York Stock Exchange Inc."
"ADBE","ADOBE INC","Equity","0.54","257.76","3,325,002.00","857,052,515.52","857,052,515.52","Information Technology","2008154","US00724F1012","NASDAQ"
"UNP","UNION PACIFIC CORP","Equity","0.54","170.17","5,021,783.00","854,556,813.11","854,556,813.11","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.54","137.84","6,197,743.00","854,296,895.12","854,296,895.12","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.53","92.61","9,149,757.00","847,358,995.77","847,358,995.77","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"CRM","SALESFORCE.COM INC","Equity","0.52","159.63","5,213,842.00","832,285,598.46","832,285,598.46","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
"MMM","3M","Equity","0.52","207.77","3,967,508.00","824,329,137.16","824,329,137.16","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.51","78.75","10,244,643.00","806,765,636.25","806,765,636.25","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.51","185.50","4,340,775.00","805,213,762.50","805,213,762.50","Health Care","2023607","US0311621009","NASDAQ"
"AVGO","BROADCOM INC","Equity","0.50","280.94","2,816,123.00","791,161,595.62","791,161,595.62","Information Technology","BDZ78H9","US11135F1012","NASDAQ"
"LLY","ELI LILLY","Equity","0.50","122.72","6,426,003.00","788,599,088.16","788,599,088.16","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.48","152.61","5,045,655.00","770,017,409.55","770,017,409.55","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.48","94.96","8,038,409.00","763,327,318.64","763,327,318.64","Information Technology","BYW36M8","US70450Y1038","NASDAQ"
"NKE","NIKE INC CLASS B","Equity","0.46","83.95","8,679,748.00","728,664,844.60","728,664,844.60","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.44","126.32","5,527,399.00","698,221,041.68","698,221,041.68","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENT INC","Equity","0.44","106.64","6,547,211.00","698,194,581.04","698,194,581.04","Information Technology","2885409","US8825081040","NASDAQ"
"ACN","ACCENTURE PLC CLASS A","Equity","0.43","159.53","4,341,483.00","692,596,782.99","692,596,782.99","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.43","251.45","2,743,993.00","689,977,039.85","689,977,039.85","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"NVDA","NVIDIA CORP","Equity","0.41","155.77","4,157,660.00","647,638,698.20","647,638,698.20","Information Technology","2379504","US67066G1040","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","0.40","50.37","12,807,154.00","645,096,346.98","645,096,346.98","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"LIN","LINDE PLC","Equity","0.40","171.40","3,755,857.00","643,753,889.80","643,753,889.80","Materials","BZ12WP8","IE00BZ12WP82","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.40","215.23","2,984,505.00","642,355,011.15","642,355,011.15","Consumer Staples","2701271","US22160K1051","NASDAQ"
"NEE","NEXTERA ENERGY INC","Equity","0.38","186.56","3,257,603.00","607,738,415.68","607,738,415.68","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"BKNG","BOOKING HOLDINGS INC","Equity","0.38","1,906.31","315,377.00","601,206,328.87","601,206,328.87","Consumer Discretionary","BDRXDB4","US09857L1089","NASDAQ"
"SBUX","STARBUCKS CORP","Equity","0.37","70.70","8,448,191.00","597,287,103.70","597,287,103.70","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"GE","GENERAL ELECTRIC","Equity","0.37","10.03","59,284,218.00","594,620,706.54","594,620,706.54","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.36","65.55","8,817,179.00","577,966,083.45","577,966,083.45","Health Care","2369174","US3755581036","NASDAQ"
"LOW","LOWES COMPANIES INC","Equity","0.36","105.52","5,467,559.00","576,936,825.68","576,936,825.68","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.35","138.88","4,015,753.00","557,707,776.64","557,707,776.64","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.35","50.13","11,115,090.00","557,199,461.70","557,199,461.70","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.35","70.24","7,838,832.00","550,599,559.68","550,599,559.68","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.34","62.35","8,807,344.00","549,137,898.40","549,137,898.40","Health Care","2577609","US1266501006","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.34","311.30","1,759,303.00","547,671,023.90","547,671,023.90","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.33","176.51","2,999,240.00","529,395,852.40","529,395,852.40","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.33","111.76","4,733,189.00","528,981,202.64","528,981,202.64","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.33","51.05","10,346,162.00","528,171,570.10","528,171,570.10","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.32","304.51","1,686,470.00","513,546,979.70","513,546,979.70","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.32","106.61","4,770,151.00","508,545,798.11","508,545,798.11","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"CI","CIGNA CORP","Equity","0.31","191.87","2,593,553.00","497,625,014.11","497,625,014.11","Health Care","BHJ0775","US1255231003","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.30","48.41","9,903,642.00","479,435,309.22","479,435,309.22","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"DHR","DANAHER CORP","Equity","0.30","112.43","4,204,014.00","472,657,294.02","472,657,294.02","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.29","196.36","2,357,706.00","462,959,150.16","462,959,150.16","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","0.28","247.69","1,828,436.00","452,885,312.84","452,885,312.84","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
