Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TSS","TOTAL SYSTEM SERVICES INC","Equity","0.06","93.24","131,198.00","12,232,901.52","12,232,901.52","Information Technology","2897697","US8919061098","New York Stock Exchange Inc."
"RF","REGIONS FINANCIAL CORP","Equity","0.06","16.25","752,214.00","12,223,477.50","12,223,477.50","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"MTD","METTLER TOLEDO INC","Equity","0.06","674.21","18,037.00","12,160,725.77","12,160,725.77","Health Care","2126249","US5926881054","New York Stock Exchange Inc."
"OMC","OMNICOM GROUP INC","Equity","0.06","74.91","162,230.00","12,152,649.30","12,152,649.30","Communication","2279303","US6819191064","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","0.06","211.97","57,204.00","12,125,531.88","12,125,531.88","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"CBS","CBS CORP CLASS B","Equity","0.06","50.92","237,787.00","12,108,114.04","12,108,114.04","Communication","B0SRLH6","US1248572026","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","0.06","91.19","131,224.00","11,966,316.56","11,966,316.56","Utilities","2317087","US29364G1031","New York Stock Exchange Inc."
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.06","133.76","88,989.00","11,903,168.64","11,903,168.64","Consumer Staples","2550161","US5797802064","New York Stock Exchange Inc."
"CAH","CARDINAL HEALTH INC","Equity","0.06","54.75","216,807.00","11,870,183.25","11,870,183.25","Health Care","2175672","US14149Y1082","New York Stock Exchange Inc."
"IAC","IAC INTERACTIVE","Equity","0.06","217.01","54,665.00","11,862,851.65","11,862,851.65","Communication","B0F0F09","US44919P5089","NASDAQ"
"CHD","CHURCH AND DWIGHT INC","Equity","0.06","66.15","178,842.00","11,830,398.30","11,830,398.30","Consumer Staples","2195841","US1713401024","New York Stock Exchange Inc."
"MYL","MYLAN NV","Equity","0.06","31.06","376,352.00","11,689,493.12","11,689,493.12","Health Care","BVFMFG8","NL0011031208","NASDAQ"
"FANG","DIAMONDBACK ENERGY INC","Equity","0.06","102.14","114,193.00","11,663,673.02","11,663,673.02","Energy","B7Y8YR3","US25278X1090","NASDAQ"
"AMTD","TD AMERITRADE HOLDING CORP","Equity","0.06","56.19","206,753.00","11,617,451.07","11,617,451.07","Financials","2983154","US87236Y1082","NASDAQ"
"CBRE","CBRE GROUP INC CLASS A","Equity","0.06","50.57","229,343.00","11,597,875.51","11,597,875.51","Real Estate","B6WVMH3","US12504L1098","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","0.06","109.90","104,147.00","11,445,755.30","11,445,755.30","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"EVRG","EVERGY INC","Equity","0.06","59.87","191,073.00","11,439,540.51","11,439,540.51","Utilities","BFMXGR0","US30034W1062","New York Stock Exchange Inc."
"BMRN","BIOMARIN PHARMACEUTICAL INC","Equity","0.06","88.81","128,779.00","11,436,862.99","11,436,862.99","Health Care","2437071","US09061G1013","NASDAQ"
"CNP","CENTERPOINT ENERGY INC","Equity","0.06","31.22","364,346.00","11,374,882.12","11,374,882.12","Utilities","2440637","US15189T1079","New York Stock Exchange Inc."
"ANET","ARISTA NETWORKS INC","Equity","0.06","270.50","41,919.00","11,339,089.50","11,339,089.50","Information Technology","BN33VM5","US0404131064","New York Stock Exchange Inc."
"EXPE","EXPEDIA GROUP INC","Equity","0.06","128.10","88,379.00","11,321,349.90","11,321,349.90","Consumer Discretionary","B748CK2","US30212P3038","NASDAQ"
"HSY","HERSHEY FOODS","Equity","0.06","111.20","101,433.00","11,279,349.60","11,279,349.60","Consumer Staples","2422806","US4278661081","New York Stock Exchange Inc."
"MXIM","MAXIM INTEGRATED PRODUCTS INC","Equity","0.06","55.26","204,133.00","11,280,389.58","11,280,389.58","Information Technology","2573760","US57772K1016","NASDAQ"
"CDNS","CADENCE DESIGN SYSTEMS INC","Equity","0.06","55.40","201,715.00","11,175,011.00","11,175,011.00","Information Technology","2302232","US1273871087","NASDAQ"
"MSCI","MSCI INC","Equity","0.06","174.22","63,665.00","11,091,716.30","11,091,716.30","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"ABMD","ABIOMED INC","Equity","0.06","358.36","30,947.00","11,090,166.92","11,090,166.92","Health Care","2003698","US0036541003","NASDAQ"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.06","81.75","135,190.00","11,051,782.50","11,051,782.50","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"YUMC","YUM CHINA HOLDINGS INC","Equity","0.06","41.74","264,585.00","11,043,777.90","11,043,777.90","Consumer Discretionary","BYW4289","US98850P1093","New York Stock Exchange Inc."
"HES","HESS CORP","Equity","0.06","57.68","191,215.00","11,029,281.20","11,029,281.20","Energy","2023748","US42809H1077","New York Stock Exchange Inc."
"SNPS","SYNOPSYS INC","Equity","0.06","101.47","108,491.00","11,008,581.77","11,008,581.77","Information Technology","2867719","US8716071076","NASDAQ"
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.06","148.32","74,009.00","10,977,014.88","10,977,014.88","Health Care","2586122","US50540R4092","New York Stock Exchange Inc."
"CMS","CMS ENERGY CORP","Equity","0.06","53.41","204,918.00","10,944,670.38","10,944,670.38","Utilities","2219224","US1258961002","New York Stock Exchange Inc."
"LNG","CHENIERE ENERGY INC","Equity","0.06","65.36","167,415.00","10,942,244.40","10,942,244.40","Energy","2654364","US16411R2085","Nyse Mkt Llc"
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.06","14.20","767,664.00","10,900,828.80","10,900,828.80","Financials","2445966","US4461501045","NASDAQ"
"VMC","VULCAN MATERIALS","Equity","0.06","112.99","94,909.00","10,723,767.91","10,723,767.91","Materials","2931205","US9291601097","New York Stock Exchange Inc."
"HCP","HCP REIT INC","Equity","0.06","31.01","343,714.00","10,658,571.14","10,658,571.14","Real Estate","2417578","US40414L1098","New York Stock Exchange Inc."
"INCY","INCYTE CORP","Equity","0.06","83.33","127,583.00","10,631,491.39","10,631,491.39","Health Care","2471950","US45337C1027","NASDAQ"
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.06","52.05","204,114.00","10,624,133.70","10,624,133.70","Financials","2803014","US74251V1026","NASDAQ"
"AJG","ARTHUR J GALLAGHER","Equity","0.06","80.64","131,264.00","10,585,128.96","10,585,128.96","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"CSGP","COSTAR GROUP INC","Equity","0.06","404.38","26,163.00","10,579,793.94","10,579,793.94","Industrials","2262864","US22160N1090","NASDAQ"
"SWKS","SKYWORKS SOLUTIONS INC","Equity","0.06","81.76","129,087.00","10,554,153.12","10,554,153.12","Information Technology","2961053","US83088M1027","NASDAQ"
"K","KELLOGG","Equity","0.06","58.33","180,791.00","10,545,539.03","10,545,539.03","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc."
"CMG","CHIPOTLE MEXICAN GRILL INC","Equity","0.06","601.19","17,539.00","10,544,271.41","10,544,271.41","Consumer Discretionary","B0X7DZ3","US1696561059","New York Stock Exchange Inc."
"ANSS","ANSYS INC","Equity","0.06","174.49","60,179.00","10,500,633.71","10,500,633.71","Information Technology","2045623","US03662Q1058","NASDAQ"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.06","135.49","77,249.00","10,466,467.01","10,466,467.01","Real Estate","2009210","US0152711091","New York Stock Exchange Inc."
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.06","19.79","528,562.00","10,460,241.98","10,460,241.98","Real Estate","2567503","US44107P1049","New York Stock Exchange Inc."
"AAL","AMERICAN AIRLINES GROUP INC","Equity","0.05","34.98","298,393.00","10,437,787.14","10,437,787.14","Industrials","BCV7KT2","US02376R1023","NASDAQ"
"CTXS","CITRIX SYSTEMS INC","Equity","0.05","104.99","99,260.00","10,421,307.40","10,421,307.40","Information Technology","2182553","US1773761002","NASDAQ"
"VEEV","VEEVA SYSTEMS INC CLASS A","Equity","0.05","116.85","88,575.00","10,349,988.75","10,349,988.75","Health Care","BFH3N85","US9224751084","New York Stock Exchange Inc."
