,Date,Open,Close
0,2007-01-03,92.0,92.0
1,2007-01-04,92.0,92.0
2,2007-01-05,92.0,92.0
3,2007-01-08,92.0,94.0
4,2007-01-09,94.0,94.0
5,2007-01-10,93.0,95.0
6,2007-01-11,95.0,96.0
7,2007-01-12,95.0,96.0
8,2007-01-16,96.0,97.0
9,2007-01-17,97.0,96.0
10,2007-01-18,96.0,97.0
11,2007-01-19,97.0,97.0
12,2007-01-22,97.0,97.0
13,2007-01-23,97.0,99.0
14,2007-01-24,98.0,97.0
15,2007-01-25,98.0,97.0
16,2007-01-26,99.0,97.0
17,2007-01-29,96.0,96.0
18,2007-01-30,96.0,96.0
19,2007-01-31,96.0,97.0
20,2007-02-01,97.0,98.0
21,2007-02-02,98.0,98.0
22,2007-02-05,98.0,99.0
23,2007-02-06,99.0,101.0
24,2007-02-07,101.0,102.0
25,2007-02-08,102.0,101.0
26,2007-02-09,101.0,101.0
27,2007-02-12,101.0,102.0
28,2007-02-13,102.0,102.0
29,2007-02-14,102.0,102.0
30,2007-02-15,102.0,103.0
31,2007-02-16,103.0,102.0
32,2007-02-20,102.0,103.0
33,2007-02-21,103.0,103.0
34,2007-02-22,103.0,102.0
35,2007-02-23,102.0,102.0
36,2007-02-26,102.0,101.0
37,2007-02-27,101.0,98.0
38,2007-02-28,97.0,97.0
39,2007-03-01,96.0,98.0
40,2007-03-02,98.0,95.0
41,2007-03-05,95.0,96.0
42,2007-03-06,97.0,97.0
43,2007-03-07,97.0,97.0
44,2007-03-08,97.0,97.0
45,2007-03-09,98.0,97.0
46,2007-03-12,97.0,100.0
47,2007-03-13,100.0,97.0
48,2007-03-14,97.0,98.0
49,2007-03-15,98.0,98.0
50,2007-03-16,98.0,98.0
51,2007-03-19,98.0,99.0
52,2007-03-20,99.0,98.0
53,2007-03-21,99.0,100.0
54,2007-03-22,100.0,98.0
55,2007-03-23,98.0,99.0
56,2007-03-26,99.0,98.0
57,2007-03-27,98.0,98.0
58,2007-03-28,98.0,97.0
59,2007-03-29,98.0,98.0
60,2007-03-30,98.0,97.0
61,2007-04-02,97.0,97.0
62,2007-04-03,97.0,97.0
63,2007-04-04,98.0,97.0
64,2007-04-05,97.0,97.0
65,2007-04-09,97.0,98.0
66,2007-04-10,98.0,98.0
67,2007-04-11,98.0,97.0
68,2007-04-12,96.0,96.0
69,2007-04-13,96.0,96.0
70,2007-04-16,96.0,96.0
71,2007-04-17,96.0,96.0
72,2007-04-18,96.0,96.0
73,2007-04-19,97.0,96.0
74,2007-04-20,96.0,95.0
75,2007-04-23,95.0,97.0
76,2007-04-24,98.0,95.0
77,2007-04-25,95.0,96.0
78,2007-04-26,95.0,94.0
79,2007-04-27,94.0,97.0
80,2007-04-30,96.0,96.0
81,2007-05-01,96.0,96.0
82,2007-05-02,96.0,96.0
83,2007-05-03,96.0,96.0
84,2007-05-04,97.0,97.0
85,2007-05-07,97.0,98.0
86,2007-05-08,98.0,98.0
87,2007-05-09,98.0,99.0
88,2007-05-10,99.0,99.0
89,2007-05-11,99.0,99.0
90,2007-05-14,99.0,99.0
91,2007-05-15,99.0,100.0
92,2007-05-16,100.0,100.0
93,2007-05-17,99.0,98.0
94,2007-05-18,99.0,98.0
95,2007-05-21,98.0,99.0
96,2007-05-22,98.0,94.0
97,2007-05-23,94.0,94.0
98,2007-05-24,95.0,96.0
99,2007-05-25,96.0,97.0
100,2007-05-29,97.0,98.0
101,2007-05-30,98.0,98.0
102,2007-05-31,99.0,98.0
103,2007-06-01,98.0,97.0
104,2007-06-04,97.0,97.0
105,2007-06-05,97.0,96.0
106,2007-06-06,96.0,97.0
107,2007-06-07,98.0,95.0
108,2007-06-08,95.0,97.0
109,2007-06-11,97.0,96.0
110,2007-06-12,96.0,95.0
111,2007-06-13,95.0,96.0
112,2007-06-14,96.0,97.0
113,2007-06-15,98.0,97.0
