,Date,Open,Close
0,2008-03-19,15.0,14.0
1,2008-03-20,15.0,16.0
2,2008-03-24,17.0,15.0
3,2008-03-25,15.0,16.0
4,2008-03-26,16.0,16.0
5,2008-03-27,16.0,16.0
6,2008-03-28,16.0,16.0
7,2008-03-31,16.0,16.0
8,2008-04-01,16.0,15.0
9,2008-04-02,15.0,16.0
10,2008-04-03,15.0,16.0
11,2008-04-04,16.0,16.0
12,2008-04-07,16.0,16.0
13,2008-04-08,16.0,17.0
14,2008-04-09,17.0,16.0
15,2008-04-10,17.0,17.0
16,2008-04-11,16.0,17.0
17,2008-04-14,17.0,16.0
18,2008-04-15,17.0,16.0
19,2008-04-16,16.0,17.0
20,2008-04-17,17.0,17.0
21,2008-04-18,17.0,17.0
22,2008-04-21,17.0,18.0
23,2008-04-22,18.0,18.0
24,2008-04-23,18.0,18.0
25,2008-04-24,18.0,18.0
26,2008-04-25,19.0,19.0
27,2008-04-28,19.0,19.0
28,2008-04-29,19.0,20.0
29,2008-04-30,20.0,21.0
30,2008-05-01,21.0,21.0
31,2008-05-02,22.0,21.0
32,2008-05-05,21.0,21.0
33,2008-05-06,21.0,22.0
34,2008-05-07,22.0,22.0
35,2008-05-08,22.0,22.0
36,2008-05-09,21.0,21.0
37,2008-05-12,21.0,20.0
38,2008-05-13,20.0,21.0
39,2008-05-14,21.0,21.0
40,2008-05-15,21.0,21.0
41,2008-05-16,21.0,21.0
42,2008-05-19,21.0,21.0
43,2008-05-20,21.0,21.0
44,2008-05-21,21.0,20.0
45,2008-05-22,20.0,19.0
46,2008-05-23,19.0,19.0
47,2008-05-27,19.0,20.0
48,2008-05-28,20.0,20.0
49,2008-05-29,21.0,21.0
50,2008-05-30,22.0,22.0
51,2008-06-02,22.0,22.0
52,2008-06-03,22.0,22.0
53,2008-06-04,22.0,21.0
54,2008-06-05,22.0,22.0
55,2008-06-06,21.0,21.0
56,2008-06-09,21.0,21.0
57,2008-06-10,20.0,20.0
58,2008-06-11,20.0,19.0
59,2008-06-12,20.0,20.0
60,2008-06-13,20.0,20.0
61,2008-06-16,20.0,21.0
62,2008-06-17,21.0,21.0
63,2008-06-18,21.0,21.0
64,2008-06-19,21.0,21.0
65,2008-06-20,21.0,21.0
66,2008-06-23,21.0,20.0
67,2008-06-24,20.0,21.0
68,2008-06-25,21.0,21.0
69,2008-06-26,20.0,20.0
70,2008-06-27,20.0,21.0
71,2008-06-30,21.0,20.0
72,2008-07-01,20.0,20.0
73,2008-07-02,20.0,20.0
74,2008-07-03,20.0,20.0
75,2008-07-07,20.0,19.0
