,Date,Open,Close
0,2007-01-03,45.0,45.0
1,2007-01-04,45.0,46.0
2,2007-01-05,46.0,45.0
3,2007-01-08,45.0,45.0
4,2007-01-09,46.0,46.0
5,2007-01-10,46.0,47.0
6,2007-01-11,47.0,49.0
7,2007-01-12,49.0,48.0
8,2007-01-16,48.0,48.0
9,2007-01-17,48.0,49.0
10,2007-01-18,49.0,49.0
11,2007-01-19,49.0,49.0
12,2007-01-22,49.0,48.0
13,2007-01-23,48.0,48.0
14,2007-01-24,48.0,48.0
15,2007-01-25,48.0,48.0
16,2007-01-26,48.0,48.0
17,2007-01-29,48.0,47.0
18,2007-01-30,48.0,47.0
19,2007-01-31,47.0,48.0
20,2007-02-01,48.0,49.0
21,2007-02-02,49.0,49.0
22,2007-02-05,49.0,49.0
23,2007-02-06,49.0,49.0
24,2007-02-07,49.0,50.0
25,2007-02-08,50.0,49.0
26,2007-02-09,49.0,49.0
27,2007-02-12,49.0,48.0
28,2007-02-13,48.0,47.0
29,2007-02-14,47.0,48.0
30,2007-02-15,48.0,48.0
31,2007-02-16,48.0,48.0
32,2007-02-20,48.0,48.0
33,2007-02-21,48.0,48.0
34,2007-02-22,48.0,47.0
35,2007-02-23,47.0,47.0
36,2007-02-26,48.0,47.0
37,2007-02-27,46.0,46.0
38,2007-02-28,46.0,45.0
39,2007-03-01,45.0,46.0
40,2007-03-02,46.0,44.0
41,2007-03-05,44.0,44.0
42,2007-03-06,45.0,45.0
43,2007-03-07,45.0,45.0
44,2007-03-08,46.0,46.0
45,2007-03-09,46.0,46.0
46,2007-03-12,46.0,46.0
47,2007-03-13,46.0,45.0
48,2007-03-14,45.0,45.0
49,2007-03-15,45.0,45.0
50,2007-03-16,45.0,45.0
51,2007-03-19,45.0,46.0
52,2007-03-20,46.0,46.0
53,2007-03-21,46.0,46.0
54,2007-03-22,47.0,46.0
55,2007-03-23,46.0,46.0
56,2007-03-26,46.0,46.0
57,2007-03-27,46.0,46.0
58,2007-03-28,46.0,46.0
59,2007-03-29,46.0,46.0
60,2007-03-30,46.0,47.0
61,2007-04-02,47.0,46.0
62,2007-04-03,46.0,47.0
63,2007-04-04,47.0,47.0
64,2007-04-05,47.0,49.0
65,2007-04-09,49.0,48.0
66,2007-04-10,49.0,48.0
67,2007-04-11,48.0,48.0
68,2007-04-12,48.0,49.0
69,2007-04-13,49.0,49.0
