,Date,Open,Adj Close
0,2012-04-12,33.0,28.0
1,2012-04-13,34.0,31.0
2,2012-04-16,37.0,30.0
3,2012-04-17,36.0,30.0
4,2012-04-18,36.0,30.0
5,2012-04-19,36.0,30.0
6,2012-04-20,36.0,30.0
7,2012-04-23,36.0,30.0
8,2012-04-24,36.0,29.0
9,2012-04-25,35.0,29.0
10,2012-04-26,35.0,29.0
11,2012-04-27,35.0,28.0
12,2012-04-30,34.0,28.0
13,2012-05-01,34.0,27.0
14,2012-05-02,33.0,27.0
15,2012-05-03,32.0,26.0
16,2012-05-04,31.0,25.0
17,2012-05-07,30.0,24.0
18,2012-05-08,29.0,25.0
19,2012-05-09,30.0,27.0
20,2012-05-10,33.0,27.0
21,2012-05-11,32.0,26.0
22,2012-05-14,31.0,26.0
23,2012-05-15,31.0,26.0
24,2012-05-16,31.0,27.0
25,2012-05-17,32.0,26.0
26,2012-05-18,31.0,26.0
27,2012-05-21,31.0,27.0
28,2012-05-22,32.0,26.0
29,2012-05-23,31.0,26.0
30,2012-05-24,31.0,26.0
31,2012-05-25,31.0,26.0
32,2012-05-29,31.0,26.0
33,2012-05-30,31.0,25.0
34,2012-05-31,30.0,25.0
35,2012-06-01,30.0,25.0
36,2012-06-04,29.0,25.0
37,2012-06-05,29.0,25.0
38,2012-06-06,30.0,26.0
39,2012-06-07,32.0,26.0
40,2012-06-08,32.0,27.0
41,2012-06-11,32.0,27.0
42,2012-06-12,33.0,28.0
43,2012-06-13,33.0,27.0
44,2012-06-14,33.0,28.0
45,2012-06-15,34.0,29.0
46,2012-06-18,34.0,28.0
47,2012-06-19,34.0,28.0
48,2012-06-20,34.0,29.0
49,2012-06-21,35.0,28.0
50,2012-06-22,34.0,28.0
51,2012-06-25,34.0,27.0
52,2012-06-26,33.0,27.0
53,2012-06-27,33.0,27.0
54,2012-06-28,32.0,27.0
55,2012-06-29,33.0,28.0
56,2012-07-02,34.0,28.0
57,2012-07-03,34.0,28.0
58,2012-07-05,34.0,28.0
59,2012-07-06,33.0,28.0
60,2012-07-09,33.0,28.0
61,2012-07-10,33.0,27.0
62,2012-07-11,33.0,28.0
63,2012-07-12,33.0,27.0
64,2012-07-13,34.0,29.0
65,2012-07-16,35.0,30.0
66,2012-07-17,36.0,31.0
67,2012-07-18,37.0,31.0
68,2012-07-19,37.0,30.0
69,2012-07-20,35.0,30.0
70,2012-07-23,35.0,29.0
71,2012-07-24,35.0,29.0
72,2012-07-25,36.0,30.0
73,2012-07-26,36.0,30.0
74,2012-07-27,36.0,31.0
75,2012-07-30,37.0,31.0
76,2012-07-31,38.0,31.0
77,2012-08-01,39.0,32.0
78,2012-08-02,38.0,32.0
79,2012-08-03,39.0,33.0
80,2012-08-06,40.0,34.0
81,2012-08-07,40.0,33.0
82,2012-08-08,40.0,34.0
83,2012-08-09,40.0,34.0
84,2012-08-10,40.0,33.0
85,2012-08-13,40.0,34.0
86,2012-08-14,40.0,33.0
87,2012-08-15,41.0,34.0
88,2012-08-16,41.0,34.0
89,2012-08-17,42.0,36.0
90,2012-08-20,43.0,36.0
91,2012-08-21,43.0,35.0
92,2012-08-22,41.0,35.0
93,2012-08-23,41.0,35.0
94,2012-08-24,41.0,35.0
95,2012-08-27,41.0,34.0
96,2012-08-28,41.0,35.0
97,2012-08-29,42.0,35.0
98,2012-08-30,42.0,36.0
99,2012-08-31,43.0,35.0
100,2012-09-04,42.0,35.0
101,2012-09-05,42.0,35.0
102,2012-09-06,42.0,36.0
103,2012-09-07,43.0,37.0
104,2012-09-10,44.0,37.0
105,2012-09-11,45.0,38.0
106,2012-09-12,46.0,39.0
107,2012-09-13,46.0,39.0
108,2012-09-14,47.0,39.0
109,2012-09-17,46.0,39.0
110,2012-09-18,46.0,38.0
111,2012-09-19,46.0,38.0
112,2012-09-20,45.0,38.0
113,2012-09-21,46.0,39.0
114,2012-09-24,47.0,39.0
115,2012-09-25,47.0,38.0
116,2012-09-26,46.0,38.0
117,2012-09-27,46.0,39.0
118,2012-09-28,46.0,39.0
119,2012-10-01,47.0,39.0
120,2012-10-02,47.0,39.0
121,2012-10-03,46.0,38.0
122,2012-10-04,46.0,38.0
123,2012-10-05,46.0,38.0
124,2012-10-08,46.0,38.0
125,2012-10-09,46.0,39.0
126,2012-10-10,46.0,38.0
127,2012-10-11,45.0,38.0
128,2012-10-12,44.0,37.0
129,2012-10-15,44.0,37.0
130,2012-10-16,45.0,39.0
131,2012-10-17,47.0,39.0
132,2012-10-18,47.0,38.0
133,2012-10-19,46.0,38.0
134,2012-10-22,45.0,38.0
135,2012-10-23,45.0,38.0
136,2012-10-24,45.0,38.0
137,2012-10-25,45.0,38.0
138,2012-10-26,46.0,40.0
139,2012-10-31,48.0,40.0
140,2012-11-01,47.0,40.0
141,2012-11-02,48.0,39.0
142,2012-11-05,46.0,40.0
143,2012-11-06,48.0,42.0
144,2012-11-07,49.0,42.0
145,2012-11-08,49.0,41.0
146,2012-11-09,48.0,40.0
147,2012-11-12,47.0,40.0
148,2012-11-13,47.0,39.0
149,2012-11-14,47.0,38.0
150,2012-11-15,46.0,38.0
151,2012-11-16,46.0,38.0
152,2012-11-19,46.0,40.0
153,2012-11-20,48.0,41.0
154,2012-11-21,49.0,42.0
155,2012-11-23,50.0,42.0
156,2012-11-26,50.0,42.0
157,2012-11-27,50.0,42.0
158,2012-11-28,50.0,43.0
159,2012-11-29,51.0,43.0
160,2012-11-30,52.0,44.0
161,2012-12-03,53.0,43.0
162,2012-12-04,51.0,43.0
163,2012-12-05,51.0,43.0
164,2012-12-06,51.0,43.0
165,2012-12-07,51.0,44.0
166,2012-12-10,52.0,45.0
167,2012-12-11,54.0,45.0
168,2012-12-12,53.0,45.0
169,2012-12-13,53.0,44.0
170,2012-12-14,52.0,45.0
171,2012-12-17,54.0,45.0
172,2012-12-18,53.0,45.0
173,2012-12-19,53.0,44.0
174,2012-12-20,53.0,44.0
175,2012-12-21,52.0,44.0
176,2012-12-24,52.0,44.0
177,2012-12-26,52.0,43.0
178,2012-12-27,52.0,43.0
179,2012-12-28,51.0,43.0
180,2012-12-31,50.0,45.0
181,2013-01-02,54.0,46.0
182,2013-01-03,55.0,45.0
183,2013-01-04,53.0,45.0
184,2013-01-07,52.0,43.0
185,2013-01-08,51.0,43.0
186,2013-01-09,52.0,43.0
187,2013-01-10,52.0,43.0
188,2013-01-11,51.0,43.0
189,2013-01-14,51.0,43.0
190,2013-01-15,51.0,44.0
191,2013-01-16,52.0,46.0
192,2013-01-17,55.0,46.0
193,2013-01-18,55.0,46.0
194,2013-01-22,55.0,46.0
195,2013-01-23,55.0,47.0
196,2013-01-24,56.0,47.0
197,2013-01-25,56.0,48.0
198,2013-01-28,57.0,48.0
199,2013-01-29,58.0,50.0
200,2013-01-30,62.0,51.0
201,2013-01-31,60.0,51.0
202,2013-02-01,62.0,53.0
203,2013-02-04,62.0,51.0
204,2013-02-05,62.0,51.0
205,2013-02-06,61.0,52.0
206,2013-02-07,62.0,53.0
207,2013-02-08,63.0,54.0
208,2013-02-11,64.0,54.0
209,2013-02-12,65.0,54.0
210,2013-02-13,64.0,54.0
211,2013-02-14,64.0,55.0
212,2013-02-15,65.0,54.0
213,2013-02-19,64.0,55.0
214,2013-02-20,65.0,53.0
215,2013-02-21,62.0,53.0
216,2013-02-22,63.0,54.0
217,2013-02-25,64.0,52.0
218,2013-02-26,61.0,52.0
219,2013-02-27,61.0,53.0
220,2013-02-28,63.0,53.0
221,2013-03-01,63.0,54.0
222,2013-03-04,64.0,55.0
223,2013-03-05,66.0,56.0
224,2013-03-06,66.0,56.0
225,2013-03-07,66.0,56.0
226,2013-03-08,66.0,56.0
227,2013-03-11,66.0,56.0
228,2013-03-12,66.0,56.0
229,2013-03-13,66.0,55.0
230,2013-03-14,65.0,55.0
231,2013-03-15,64.0,54.0
232,2013-03-18,63.0,55.0
233,2013-03-19,65.0,55.0
234,2013-03-20,66.0,57.0
235,2013-03-21,67.0,56.0
236,2013-03-22,67.0,57.0
237,2013-03-25,68.0,56.0
238,2013-03-26,67.0,57.0
239,2013-03-27,67.0,58.0
240,2013-03-28,68.0,59.0
241,2013-04-01,70.0,59.0
242,2013-04-02,70.0,56.0
243,2013-04-03,67.0,53.0
244,2013-04-04,63.0,53.0
245,2013-04-05,61.0,53.0
246,2013-04-08,62.0,54.0
247,2013-04-09,64.0,55.0
248,2013-04-10,65.0,54.0
249,2013-04-11,64.0,52.0
250,2013-04-12,61.0,51.0
251,2013-04-15,59.0,49.0
252,2013-04-16,58.0,50.0
253,2013-04-17,59.0,49.0
254,2013-04-18,58.0,48.0
255,2013-04-19,58.0,49.0
256,2013-04-22,58.0,50.0
257,2013-04-23,60.0,52.0
258,2013-04-24,61.0,52.0
259,2013-04-25,62.0,52.0
260,2013-04-26,62.0,52.0
261,2013-04-29,62.0,52.0
262,2013-04-30,62.0,51.0
263,2013-05-01,61.0,50.0
264,2013-05-02,60.0,51.0
265,2013-05-03,61.0,53.0
266,2013-05-06,62.0,54.0
267,2013-05-07,64.0,54.0
268,2013-05-08,64.0,54.0
269,2013-05-09,63.0,52.0
270,2013-05-10,62.0,52.0
271,2013-05-13,61.0,52.0
272,2013-05-14,62.0,54.0
273,2013-05-15,64.0,55.0
274,2013-05-16,65.0,54.0
275,2013-05-17,64.0,56.0
276,2013-05-20,65.0,56.0
277,2013-05-21,66.0,56.0
278,2013-05-22,65.0,56.0
279,2013-05-23,64.0,55.0
280,2013-05-24,65.0,56.0
281,2013-05-28,66.0,56.0
282,2013-05-29,66.0,57.0
283,2013-05-30,66.0,57.0
284,2013-05-31,67.0,57.0
285,2013-06-03,67.0,56.0
286,2013-06-04,66.0,55.0
287,2013-06-05,65.0,54.0
288,2013-06-06,64.0,55.0
289,2013-06-07,65.0,56.0
290,2013-06-10,66.0,55.0
291,2013-06-11,64.0,54.0
292,2013-06-12,65.0,54.0
293,2013-06-13,63.0,55.0
294,2013-06-14,65.0,54.0
295,2013-06-17,64.0,55.0
296,2013-06-18,64.0,55.0
297,2013-06-19,64.0,54.0
298,2013-06-20,63.0,51.0
299,2013-06-21,61.0,50.0
300,2013-06-24,58.0,49.0
301,2013-06-25,58.0,50.0
302,2013-06-26,60.0,51.0
303,2013-06-27,60.0,50.0
304,2013-06-28,59.0,50.0
305,2013-07-01,59.0,50.0
306,2013-07-02,59.0,48.0
307,2013-07-03,57.0,49.0
308,2013-07-05,58.0,49.0
309,2013-07-08,58.0,50.0
310,2013-07-09,59.0,50.0
311,2013-07-10,58.0,48.0
312,2013-07-11,57.0,49.0
313,2013-07-12,57.0,50.0
314,2013-07-15,59.0,50.0
315,2013-07-16,59.0,49.0
316,2013-07-17,58.0,49.0
317,2013-07-18,58.0,48.0
318,2013-07-19,57.0,49.0
319,2013-07-22,58.0,49.0
320,2013-07-23,58.0,51.0
321,2013-07-24,60.0,50.0
322,2013-07-25,59.0,50.0
323,2013-07-26,59.0,50.0
324,2013-07-29,59.0,50.0
325,2013-07-30,59.0,50.0
326,2013-07-31,57.0,52.0
327,2013-08-01,62.0,51.0
328,2013-08-02,60.0,50.0
329,2013-08-05,58.0,49.0
330,2013-08-06,58.0,50.0
331,2013-08-07,58.0,49.0
332,2013-08-08,58.0,50.0
333,2013-08-09,59.0,50.0
334,2013-08-12,58.0,49.0
335,2013-08-13,58.0,50.0
336,2013-08-14,59.0,50.0
