,Date,Open,Adj Close
0,2015-07-06,38.0,37.0
1,2015-07-07,38.0,37.0
2,2015-07-08,36.0,35.0
3,2015-07-09,35.0,34.0
4,2015-07-10,35.0,35.0
5,2015-07-13,36.0,37.0
6,2015-07-14,37.0,37.0
7,2015-07-15,38.0,38.0
8,2015-07-16,39.0,39.0
9,2015-07-17,39.0,38.0
10,2015-07-20,41.0,40.0
11,2015-07-21,41.0,39.0
12,2015-07-22,39.0,38.0
13,2015-07-23,39.0,37.0
14,2015-07-24,38.0,37.0
15,2015-07-27,37.0,36.0
16,2015-07-28,37.0,38.0
17,2015-07-29,38.0,38.0
18,2015-07-30,38.0,38.0
19,2015-07-31,39.0,39.0
20,2015-08-03,39.0,39.0
21,2015-08-04,40.0,39.0
22,2015-08-05,40.0,39.0
23,2015-08-06,40.0,39.0
24,2015-08-07,39.0,39.0
25,2015-08-10,39.0,39.0
26,2015-08-11,39.0,39.0
27,2015-08-12,39.0,38.0
28,2015-08-13,38.0,38.0
29,2015-08-14,37.0,38.0
30,2015-08-17,38.0,39.0
31,2015-08-18,39.0,38.0
32,2015-08-19,38.0,37.0
33,2015-08-20,37.0,36.0
34,2015-08-21,36.0,34.0
35,2015-08-24,31.0,34.0
36,2015-08-25,35.0,33.0
37,2015-08-26,34.0,33.0
38,2015-08-27,34.0,35.0
39,2015-08-28,35.0,35.0
40,2015-08-31,36.0,35.0
41,2015-09-01,34.0,34.0
42,2015-09-02,35.0,35.0
43,2015-09-03,35.0,35.0
44,2015-09-04,35.0,34.0
45,2015-09-08,35.0,35.0
46,2015-09-09,35.0,34.0
47,2015-09-10,34.0,33.0
48,2015-09-11,33.0,34.0
49,2015-09-14,34.0,34.0
50,2015-09-15,34.0,34.0
51,2015-09-16,33.0,34.0
52,2015-09-17,34.0,33.0
53,2015-09-18,33.0,33.0
54,2015-09-21,34.0,34.0
55,2015-09-22,34.0,33.0
56,2015-09-23,33.0,34.0
57,2015-09-24,34.0,34.0
58,2015-09-25,35.0,34.0
59,2015-09-28,34.0,32.0
60,2015-09-29,32.0,31.0
61,2015-09-30,31.0,31.0
62,2015-10-01,31.0,31.0
63,2015-10-02,31.0,33.0
64,2015-10-05,33.0,33.0
65,2015-10-06,33.0,32.0
66,2015-10-07,32.0,32.0
67,2015-10-08,32.0,32.0
68,2015-10-09,32.0,32.0
69,2015-10-12,32.0,33.0
70,2015-10-13,33.0,33.0
71,2015-10-14,33.0,34.0
72,2015-10-15,34.0,35.0
73,2015-10-16,35.0,34.0
74,2015-10-19,34.0,35.0
75,2015-10-20,35.0,35.0
76,2015-10-21,35.0,34.0
77,2015-10-22,34.0,35.0
78,2015-10-23,36.0,35.0
79,2015-10-26,36.0,36.0
80,2015-10-27,36.0,36.0
81,2015-10-28,36.0,37.0
82,2015-10-29,35.0,36.0
83,2015-10-30,36.0,36.0
84,2015-11-02,36.0,37.0
85,2015-11-03,37.0,38.0
86,2015-11-04,38.0,38.0
87,2015-11-05,38.0,37.0
88,2015-11-06,37.0,36.0
89,2015-11-09,36.0,37.0
90,2015-11-10,37.0,37.0
91,2015-11-11,37.0,36.0
92,2015-11-12,36.0,36.0
93,2015-11-13,35.0,35.0
94,2015-11-16,35.0,36.0
95,2015-11-17,36.0,36.0
96,2015-11-18,36.0,36.0
97,2015-11-19,36.0,36.0
98,2015-11-20,36.0,36.0
99,2015-11-23,36.0,36.0
100,2015-11-24,35.0,35.0
101,2015-11-25,35.0,35.0
102,2015-11-27,36.0,35.0
103,2015-11-30,35.0,35.0
104,2015-12-01,35.0,35.0
105,2015-12-02,35.0,35.0
106,2015-12-03,35.0,34.0
107,2015-12-04,34.0,36.0
108,2015-12-07,36.0,35.0
109,2015-12-08,35.0,36.0
110,2015-12-09,35.0,35.0
111,2015-12-10,35.0,35.0
112,2015-12-11,35.0,35.0
113,2015-12-14,35.0,35.0
114,2015-12-15,35.0,36.0
115,2015-12-16,36.0,36.0
116,2015-12-17,36.0,36.0
117,2015-12-18,35.0,35.0
118,2015-12-21,35.0,36.0
119,2015-12-22,36.0,37.0
120,2015-12-23,37.0,37.0
121,2015-12-24,37.0,37.0
122,2015-12-28,37.0,37.0
123,2015-12-29,37.0,37.0
124,2015-12-30,37.0,36.0
125,2015-12-31,36.0,36.0
126,2016-01-04,35.0,35.0
127,2016-01-05,35.0,34.0
128,2016-01-06,34.0,34.0
129,2016-01-07,33.0,33.0
130,2016-01-08,33.0,33.0
131,2016-01-11,33.0,33.0
132,2016-01-12,33.0,33.0
133,2016-01-13,33.0,32.0
134,2016-01-14,32.0,33.0
135,2016-01-15,32.0,32.0
136,2016-01-19,33.0,32.0
137,2016-01-20,31.0,31.0
138,2016-01-21,32.0,31.0
139,2016-01-22,32.0,32.0
140,2016-01-25,32.0,31.0
141,2016-01-26,31.0,32.0
142,2016-01-27,32.0,32.0
143,2016-01-28,34.0,34.0
144,2016-01-29,34.0,36.0
145,2016-02-01,36.0,37.0
146,2016-02-02,37.0,37.0
147,2016-02-03,37.0,37.0
148,2016-02-04,37.0,37.0
149,2016-02-05,37.0,35.0
150,2016-02-08,34.0,34.0
151,2016-02-09,33.0,33.0
152,2016-02-10,34.0,33.0
153,2016-02-11,32.0,34.0
154,2016-02-12,34.0,34.0
155,2016-02-16,35.0,35.0
156,2016-02-17,36.0,36.0
157,2016-02-18,36.0,36.0
158,2016-02-19,36.0,36.0
159,2016-02-22,36.0,36.0
160,2016-02-23,36.0,35.0
161,2016-02-24,35.0,36.0
162,2016-02-25,37.0,37.0
163,2016-02-26,37.0,37.0
164,2016-02-29,37.0,38.0
165,2016-03-01,39.0,39.0
166,2016-03-02,39.0,39.0
167,2016-03-03,39.0,39.0
168,2016-03-04,39.0,39.0
169,2016-03-07,39.0,39.0
170,2016-03-08,39.0,38.0
171,2016-03-09,38.0,39.0
172,2016-03-10,39.0,38.0
173,2016-03-11,39.0,39.0
174,2016-03-14,39.0,39.0
175,2016-03-15,39.0,39.0
176,2016-03-16,39.0,40.0
177,2016-03-17,40.0,40.0
178,2016-03-18,40.0,39.0
179,2016-03-21,39.0,41.0
180,2016-03-22,41.0,41.0
181,2016-03-23,41.0,41.0
182,2016-03-24,39.0,39.0
183,2016-03-28,39.0,39.0
184,2016-03-29,39.0,40.0
185,2016-03-30,40.0,39.0
186,2016-03-31,39.0,39.0
187,2016-04-01,39.0,39.0
188,2016-04-04,39.0,39.0
189,2016-04-05,38.0,39.0
190,2016-04-06,38.0,39.0
191,2016-04-07,39.0,38.0
192,2016-04-08,39.0,38.0
193,2016-04-11,38.0,38.0
194,2016-04-12,38.0,38.0
195,2016-04-13,38.0,39.0
196,2016-04-14,39.0,39.0
197,2016-04-15,39.0,39.0
198,2016-04-18,39.0,40.0
199,2016-04-19,40.0,39.0
200,2016-04-20,39.0,40.0
201,2016-04-21,40.0,40.0
202,2016-04-22,40.0,40.0
203,2016-04-25,40.0,40.0
204,2016-04-26,40.0,40.0
205,2016-04-27,40.0,40.0
206,2016-04-28,41.0,40.0
207,2016-04-29,40.0,39.0
208,2016-05-02,39.0,39.0
209,2016-05-03,39.0,38.0
210,2016-05-04,38.0,38.0
211,2016-05-05,38.0,39.0
212,2016-05-06,39.0,39.0
213,2016-05-09,39.0,40.0
214,2016-05-10,40.0,40.0
215,2016-05-11,40.0,40.0
216,2016-05-12,40.0,40.0
217,2016-05-13,40.0,39.0
218,2016-05-16,39.0,39.0
219,2016-05-17,39.0,39.0
220,2016-05-18,39.0,39.0
221,2016-05-19,39.0,38.0
222,2016-05-20,38.0,38.0
223,2016-05-23,38.0,38.0
224,2016-05-24,38.0,39.0
225,2016-05-25,39.0,39.0
226,2016-05-26,39.0,38.0
227,2016-05-27,38.0,38.0
228,2016-05-31,38.0,38.0
229,2016-06-01,38.0,38.0
230,2016-06-02,38.0,39.0
231,2016-06-03,38.0,38.0
232,2016-06-06,38.0,38.0
233,2016-06-07,38.0,38.0
234,2016-06-08,38.0,38.0
235,2016-06-09,37.0,37.0
236,2016-06-10,37.0,37.0
237,2016-06-13,36.0,37.0
238,2016-06-14,36.0,37.0
239,2016-06-15,37.0,37.0
240,2016-06-16,37.0,37.0
241,2016-06-17,37.0,37.0
242,2016-06-20,37.0,37.0
243,2016-06-21,37.0,36.0
244,2016-06-22,36.0,36.0
245,2016-06-23,36.0,37.0
246,2016-06-24,35.0,35.0
247,2016-06-27,35.0,34.0
248,2016-06-28,34.0,35.0
249,2016-06-29,36.0,36.0
250,2016-06-30,36.0,37.0
251,2016-07-01,37.0,36.0
252,2016-07-05,36.0,36.0
253,2016-07-06,36.0,36.0
254,2016-07-07,36.0,36.0
255,2016-07-08,37.0,37.0
256,2016-07-11,37.0,38.0
257,2016-07-12,38.0,39.0
258,2016-07-13,39.0,39.0
259,2016-07-14,40.0,40.0
260,2016-07-15,40.0,39.0
261,2016-07-18,39.0,39.0
262,2016-07-19,39.0,39.0
263,2016-07-20,39.0,40.0
264,2016-07-21,40.0,40.0
265,2016-07-22,37.0,37.0
266,2016-07-25,38.0,38.0
267,2016-07-26,38.0,38.0
268,2016-07-27,38.0,37.0
269,2016-07-28,37.0,37.0
270,2016-07-29,37.0,37.0
271,2016-08-01,37.0,37.0
272,2016-08-02,37.0,37.0
273,2016-08-03,37.0,37.0
274,2016-08-04,37.0,37.0
275,2016-08-05,38.0,38.0
276,2016-08-08,38.0,38.0
277,2016-08-09,38.0,38.0
278,2016-08-10,38.0,38.0
279,2016-08-11,38.0,38.0
280,2016-08-12,38.0,39.0
281,2016-08-15,39.0,38.0
282,2016-08-16,38.0,38.0
283,2016-08-17,38.0,38.0
284,2016-08-18,38.0,38.0
285,2016-08-19,38.0,38.0
286,2016-08-22,38.0,38.0
287,2016-08-23,38.0,38.0
288,2016-08-24,38.0,38.0
289,2016-08-25,38.0,38.0
290,2016-08-26,38.0,38.0
291,2016-08-29,38.0,37.0
292,2016-08-30,37.0,37.0
293,2016-08-31,37.0,37.0
294,2016-09-01,37.0,37.0
295,2016-09-02,37.0,37.0
296,2016-09-06,37.0,37.0
297,2016-09-07,37.0,39.0
298,2016-09-08,39.0,39.0
299,2016-09-09,39.0,38.0
300,2016-09-12,38.0,39.0
301,2016-09-13,39.0,40.0
302,2016-09-14,40.0,40.0
303,2016-09-15,40.0,41.0
304,2016-09-16,41.0,41.0
305,2016-09-19,40.0,40.0
306,2016-09-20,40.0,40.0
307,2016-09-21,40.0,40.0
308,2016-09-22,40.0,40.0
309,2016-09-23,40.0,40.0
310,2016-09-26,39.0,40.0
311,2016-09-27,40.0,41.0
312,2016-09-28,41.0,41.0
313,2016-09-29,41.0,40.0
314,2016-09-30,40.0,41.0
315,2016-10-03,41.0,41.0
316,2016-10-04,41.0,41.0
317,2016-10-05,41.0,40.0
318,2016-10-06,40.0,40.0
319,2016-10-07,40.0,40.0
320,2016-10-10,40.0,40.0
321,2016-10-11,40.0,39.0
322,2016-10-12,40.0,40.0
323,2016-10-13,39.0,39.0
324,2016-10-14,39.0,39.0
325,2016-10-17,39.0,39.0
326,2016-10-18,40.0,40.0
327,2016-10-19,40.0,40.0
328,2016-10-20,40.0,40.0
329,2016-10-21,42.0,44.0
330,2016-10-24,44.0,44.0
331,2016-10-25,44.0,43.0
332,2016-10-26,43.0,42.0
333,2016-10-27,43.0,42.0
334,2016-10-28,42.0,42.0
335,2016-10-31,42.0,42.0
336,2016-11-01,42.0,42.0
337,2016-11-02,41.0,41.0
