format=1 tracks=10 division=480
BA 5 CR 1+1/2 TR 2 CH 3 NT F-- 13/80
BA 5 CR 1+1/2 TR 8 CH 10 NT C-- 3/16
BA 5 CR 1+3/4 TR 2 CH 3 NT G-- 13/80
BA 5 CR 2 TR 1 CH 2 NT G 1/2
BA 5 CR 2 TR 2 CH 3 NT G#-- 1+191/240
BA 5 CR 2 TR 4 CH 4 NT F'' 5/8
BA 5 CR 2 TR 8 CH 10 NT C-- 3/16
BA 5 CR 2 TR 9 CH 10 NT F#-- 5/8
BA 5 CR 2+1/2 TR 1 CH 2 NT Eb 1/2
BA 5 CR 3 TR 1 CH 2 NT C 1
BA 5 CR 3 TR 4 CH 4 NT F'' 5/8
BA 5 CR 3 TR 9 CH 10 NT F#-- 5/8
BA 5 CR 3+59/60 TR 3 CH 5 Channel volume 92
BA 6 CR 0 TR 1 CH 2 NT G 1
BA 6 CR 0 TR 2 CH 3 NT Eb-- 1+79/240
BA 6 CR 0 TR 4 CH 4 NT F'' 5/8
BA 6 CR 0 TR 8 CH 10 NT C-- 3/16
BA 6 CR 0 TR 9 CH 10 NT F#-- 5/8
BA 6 CR 1 TR 1 CH 2 NT G# 77/96
BA 6 CR 1 TR 4 CH 4 NT F'' 5/8
BA 6 CR 1 TR 9 CH 10 NT F#-- 5/8
BA 6 CR 1+1/2 TR 2 CH 3 NT G-- 13/80
BA 6 CR 1+1/2 TR 8 CH 10 NT C-- 3/16
BA 6 CR 1+3/4 TR 2 CH 3 NT Eb-- 13/80
BA 6 CR 2 TR 1 CH 2 NT F 1+67/160
BA 6 CR 2 TR 2 CH 3 NT F-- 1+43/48
BA 6 CR 2 TR 4 CH 4 NT F'' 5/8
BA 6 CR 2 TR 8 CH 10 NT C-- 3/16
BA 6 CR 2 TR 9 CH 10 NT F#-- 5/8
BA 6 CR 3 TR 4 CH 4 NT F'' 5/8
BA 6 CR 3 TR 9 CH 10 NT F#-- 5/8
BA 6 CR 3+1/2 TR 1 CH 2 NT F 9/40
BA 6 CR 3+3/4 TR 1 CH 2 NT G 31/160
BA 7 CR 0 TR 4 CH 4 NT F'' 5/8
BA 7 CR 0 TR 8 CH 10 NT C-- 3/16
BA 7 CR 0 TR 9 CH 10 NT F#-- 5/8
BA 7 CR 1/160 TR 2 CH 3 NT F-- 1+9/10
BA 7 CR 1/60 TR 1 CH 2 NT C' 1+107/120
BA 7 CR 1 TR 4 CH 4 NT F'' 5/8
BA 7 CR 1 TR 9 CH 10 NT F#-- 5/8
BA 7 CR 1+1/2 TR 8 CH 10 NT C-- 3/16
BA 7 CR 1+95/96 TR 2 CH 3 NT Eb-- 1+49/60
BA 7 CR 2 TR 4 CH 4 NT F'' 5/8
BA 7 CR 2 TR 8 CH 10 NT C-- 3/16
BA 7 CR 2 TR 9 CH 10 NT F#-- 5/8
BA 7 CR 2+1/120 TR 1 CH 2 NT Bb 1+101/240
BA 7 CR 3 TR 4 CH 4 NT F'' 5/8
BA 7 CR 3 TR 9 CH 10 NT F#-- 5/8
BA 7 CR 3+241/480 TR 1 CH 2 NT G 7/15
BA 7 CR 3+59/60 TR 9 CH 10 NT F#-- 5/8
BA 7 CR 3+119/120 TR 1 CH 2 NT F 2+7/8
BA 8 CR 0 TR 4 CH 4 NT F'' 5/8
BA 8 CR 0 TR 8 CH 10 NT C-- 3/16
BA 8 CR 1/60 TR 2 CH 3 NT Eb-- 1+19/60
BA 8 CR 59/60 TR 9 CH 10 NT F#-- 5/8
BA 8 CR 1 TR 4 CH 4 NT F'' 5/8
BA 8 CR 1+1/2 TR 8 CH 10 NT C-- 3/16
BA 8 CR 1+8/15 TR 2 CH 3 NT Eb-- 3/4
BA 8 CR 2 TR 4 CH 4 NT F'' 5/8
BA 8 CR 2+1/60 TR 9 CH 10 NT F#-- 5/8
BA 8 CR 2+2/5 TR 3 CH 5 Channel volume 98
BA 8 CR 2+1/2 TR 8 CH 10 NT C-- 3/16
BA 8 CR 2+259/480 TR 2 CH 3 NT Eb-- 39/80
BA 8 CR 3 TR 4 CH 4 NT F'' 5/8
BA 8 CR 3 TR 8 CH 10 NT C-- 1/8
BA 8 CR 3+1/160 TR 2 CH 3 NT F-- 89/160
BA 8 CR 3+1/60 TR 9 CH 10 NT F#-- 5/8
BA 8 CR 3+1/4 TR 3 CH 5 Instrument 74
BA 8 CR 3+1/2 TR 8 CH 10 NT C-- 1/8
BA 8 CR 3+61/120 TR 2 CH 3 NT G-- 13/30
BA 8 CR 3+3/4 TR 7 CH 10 Instrument 37
BA 9 CR 0 TR 1 CH 2 NT F 1+7/60
BA 9 CR 0 TR 2 CH 3 NT F-- 1+23/60
BA 9 CR 0 TR 3 CH 5 NT F' 7/16
BA 9 CR 0 TR 4 CH 4 NT F'' 5/8
BA 9 CR 0 TR 8 CH 10 NT C-- 3/16
BA 9 CR 0 TR 9 CH 10 NT F#-- 5/16
BA 9 CR 1/2 TR 3 CH 5 NT C' 7/16
BA 9 CR 1/2 TR 9 CH 10 NT F#-- 5/24
BA 9 CR 1 TR 3 CH 5 NT F' 7/16
BA 9 CR 1+5/96 TR 7 CH 10 NT D-- 5/24 von=127
BA 9 CR 1+23/240 TR 9 CH 10 NT F#-- 5/16
BA 9 CR 1+9/80 TR 4 CH 4 NT F'' 5/8
BA 9 CR 1+13/80 TR 1 CH 2 NT G# 193/240
BA 9 CR 1+1/2 TR 2 CH 3 NT F-- 13/80
BA 9 CR 1+1/2 TR 3 CH 5 NT G' 7/16
BA 9 CR 1+1/2 TR 8 CH 10 NT C-- 3/16
BA 9 CR 1+1/2 TR 9 CH 10 NT F#-- 5/24
BA 9 CR 1+3/4 TR 2 CH 3 NT G-- 13/80
BA 9 CR 2 TR 1 CH 2 NT G 1/2
BA 9 CR 2 TR 2 CH 3 NT G#-- 1+73/80
BA 9 CR 2 TR 3 CH 5 NT G#' 7/16
BA 9 CR 2 TR 4 CH 4 NT F'' 5/8
BA 9 CR 2 TR 8 CH 10 NT C-- 3/16
BA 9 CR 2 TR 9 CH 10 NT F#-- 5/16
BA 9 CR 2+1/2 TR 1 CH 2 NT Eb 1/2
BA 9 CR 2+1/2 TR 3 CH 5 NT G' 7/16
BA 9 CR 2+1/2 TR 9 CH 10 NT F#-- 5/24
BA 9 CR 3 TR 1 CH 2 NT C 1
BA 9 CR 3 TR 3 CH 5 NT G#' 7/16
BA 9 CR 3 TR 4 CH 4 NT F'' 5/8
BA 9 CR 3 TR 7 CH 10 NT D-- 5/24
BA 9 CR 3 TR 9 CH 10 NT F#-- 5/16
BA 9 CR 3+1/2 TR 3 CH 5 NT Bb' 7/16
BA 9 CR 3+1/2 TR 9 CH 10 NT F#-- 5/24
BA 10 CR 0 TR 1 CH 2 NT G 1
BA 10 CR 0 TR 2 CH 3 NT Eb-- 1+5/16
BA 10 CR 0 TR 3 CH 5 NT C'' 7/16
BA 10 CR 0 TR 4 CH 4 NT F'' 5/8
BA 10 CR 0 TR 8 CH 10 NT C-- 3/16
BA 10 CR 0 TR 9 CH 10 NT F#-- 5/16
BA 10 CR 1/2 TR 3 CH 5 NT G#' 7/16
