,Start,High,Low,Last,Drop,Recover,TotalChange,Score
BBY,74,83,48,60,0.578,1.25,0.811,2.729
EAF,22,24,10,15,0.417,1.5,0.682,2.53
LB,31,38,25,27,0.658,1.08,0.871,2.817
TCO,62,65,44,53,0.677,1.205,0.855,2.977
RRC,15,19,9,11,0.474,1.222,0.733,2.404
FIS,102,111,96,107,0.865,1.115,1.049,3.66
MTN,278,301,181,209,0.601,1.155,0.752,2.629
GLIBA,47,51,40,54,0.784,1.35,1.149,3.728
WAL,57,60,38,47,0.633,1.237,0.825,2.863
TPX,48,59,39,58,0.661,1.487,1.208,3.569
ACC,41,43,39,45,0.907,1.154,1.098,3.897
EQT,27,28,17,19,0.607,1.118,0.704,2.559
TRIP,51,55,44,55,0.8,1.25,1.078,3.608
FSLR,53,54,37,54,0.685,1.459,1.019,3.416
EXPE,132,135,109,127,0.807,1.165,0.962,3.429
IQV,122,131,106,142,0.809,1.34,1.164,3.813
PEG,51,56,50,57,0.893,1.14,1.118,3.853
ETR,82,86,79,93,0.919,1.177,1.134,4.0
HOG,42,46,32,37,0.696,1.156,0.881,3.006
SM,27,33,13,17,0.394,1.308,0.63,2.248
REGN,372,409,330,423,0.807,1.282,1.137,3.721
CONE,62,69,50,53,0.725,1.06,0.855,2.966
CPRT,58,66,45,58,0.682,1.289,1.0,3.219
JBGS,37,41,34,41,0.829,1.206,1.108,3.688
GRMN,64,70,61,83,0.871,1.361,1.297,4.175
ITW,138,148,119,145,0.804,1.218,1.051,3.562
KIM,17,18,14,18,0.778,1.286,1.059,3.556
SO,48,49,43,50,0.878,1.163,1.042,3.747
AME,76,82,63,79,0.768,1.254,1.039,3.473
VMI,139,143,104,137,0.727,1.317,0.986,3.36
ROL,37,43,34,39,0.791,1.147,1.054,3.452
CMD,94,98,70,88,0.714,1.257,0.936,3.213
CMI,139,155,125,155,0.806,1.24,1.115,3.654
APY,40,45,27,40,0.6,1.481,1.0,3.201
TRMB,37,44,30,40,0.682,1.333,1.081,3.344
CIT,53,55,36,51,0.655,1.417,0.962,3.237
BPOP,50,57,45,57,0.789,1.267,1.14,3.652
PPC,17,20,15,20,0.75,1.333,1.176,3.634
VRSN,147,164,134,179,0.817,1.336,1.218,3.889
STWD,23,23,19,22,0.826,1.158,0.957,3.48
OLN,29,32,18,26,0.562,1.444,0.897,2.973
VTR,57,60,52,64,0.867,1.231,1.123,3.857
OMF,34,37,23,34,0.622,1.478,1.0,3.252
RHT,141,152,117,183,0.77,1.564,1.298,4.048
ISRG,511,575,435,552,0.757,1.269,1.08,3.495
EFX,125,138,90,111,0.652,1.233,0.888,2.971
PRGO,79,79,36,49,0.456,1.361,0.62,2.397
FWONK,35,39,28,32,0.718,1.143,0.914,3.088
TDC,38,41,34,47,0.829,1.382,1.237,3.993
IR,97,106,86,106,0.811,1.233,1.093,3.641
DKS,33,39,30,38,0.769,1.267,1.152,3.602
GWW,339,369,266,312,0.721,1.173,0.92,3.133
MHK,188,196,111,140,0.566,1.261,0.745,2.647
WPX,18,21,10,13,0.476,1.3,0.722,2.475
HIG,52,53,41,49,0.774,1.195,0.942,3.335
RS,89,91,69,89,0.758,1.29,1.0,3.439
NDAQ,91,97,77,89,0.794,1.156,0.978,3.395
APC,69,71,41,44,0.577,1.073,0.638,2.377
HPE,15,17,12,16,0.706,1.333,1.067,3.397
LEG,42,46,34,46,0.739,1.353,1.095,3.54
IEX,152,157,119,145,0.758,1.218,0.954,3.321
DHR,102,110,95,113,0.864,1.189,1.108,3.79
RGLD,83,85,71,90,0.835,1.268,1.084,3.746
SHW,438,480,365,440,0.76,1.205,1.005,3.365
PEN,144,157,113,146,0.72,1.292,1.014,3.343
HII,231,261,177,217,0.678,1.226,0.939,3.084
SWKS,94,96,61,82,0.635,1.344,0.872,3.022
DLR,121,125,102,118,0.816,1.157,0.975,3.464
SAGE,147,165,81,154,0.491,1.901,1.048,3.431
IT,130,160,123,142,0.769,1.154,1.092,3.429
EXEL,21,23,14,22,0.609,1.571,1.048,3.361
SATS,44,49,34,40,0.694,1.176,0.909,3.048
AKAM,70,77,58,70,0.753,1.207,1.0,3.341
CVET,46,46,35,37,0.761,1.057,0.804,3.019
CI,185,225,178,194,0.791,1.09,1.049,3.39
NRZ,18,19,14,17,0.737,1.214,0.944,3.244
RE,219,234,205,224,0.876,1.093,1.023,3.651
UNP,148,165,128,170,0.776,1.328,1.149,3.681
ARMK,40,43,28,32,0.651,1.143,0.8,2.791
MKTX,193,194,174,239,0.897,1.374,1.238,4.221
DOX,65,67,55,57,0.821,1.036,0.877,3.261
QGEN,38,39,33,39,0.846,1.182,1.026,3.639
WY,34,36,21,26,0.583,1.238,0.765,2.683
LNG,62,70,55,65,0.786,1.182,1.048,3.466
VIA,33,38,28,35,0.737,1.25,1.061,3.397
EV,52,54,33,42,0.611,1.273,0.808,2.828
FLO,20,21,18,21,0.857,1.167,1.05,3.686
TEAM,73,97,66,105,0.68,1.591,1.438,3.954
WTFC,89,92,62,74,0.674,1.194,0.831,2.934
MORN,131,142,106,126,0.746,1.189,0.962,3.264
UNH,254,286,233,267,0.815,1.146,1.051,3.525
SRC,42,43,34,40,0.791,1.176,0.952,3.379
NOV,47,47,24,28,0.511,1.167,0.596,2.285
MAN,92,94,63,85,0.67,1.349,0.924,3.171
ABT,64,65,63,76,0.969,1.206,1.188,4.272
ITT,55,62,45,59,0.726,1.311,1.073,3.438
DLB,64,72,58,65,0.806,1.121,1.016,3.436
CACC,427,465,357,442,0.768,1.238,1.035,3.453
ATVI,74,84,40,42,0.476,1.05,0.568,2.071
ACA,28,33,23,31,0.697,1.348,1.107,3.427
ATR,102,112,89,102,0.795,1.146,1.0,3.41
NOC,298,320,226,289,0.706,1.279,0.97,3.246
CBT,65,67,40,48,0.597,1.2,0.738,2.651
SQ,65,101,50,76,0.495,1.52,1.169,3.179
WDC,69,69,35,49,0.507,1.4,0.71,2.624
AAPL,201,232,142,173,0.612,1.218,0.861,2.828
CERN,62,68,49,58,0.721,1.184,0.935,3.159
NFG,53,59,51,60,0.864,1.176,1.132,3.801
CNP,28,29,27,31,0.931,1.148,1.107,3.989
KLAC,115,120,81,114,0.675,1.407,0.991,3.309
INGR,96,106,88,94,0.83,1.068,0.979,3.425
KHC,59,64,35,35,0.547,1.0,0.593,2.191
GE,13,14,7,10,0.5,1.429,0.769,2.698
HXL,68,70,54,72,0.771,1.333,1.059,3.581
STT,86,90,59,72,0.656,1.22,0.837,2.918
UDR,39,41,38,45,0.927,1.184,1.154,4.057
FTNT,70,93,65,87,0.699,1.338,1.243,3.558
SNA,167,188,136,161,0.723,1.184,0.964,3.193
CAT,137,158,112,139,0.709,1.241,1.015,3.261
ROST,86,103,76,94,0.738,1.237,1.093,3.419
TTWO,112,138,87,87,0.63,1.0,0.777,2.571
ETN,81,89,65,81,0.73,1.246,1.0,3.312
KR,29,33,27,29,0.818,1.074,1.0,3.412
HSIC,62,71,58,60,0.817,1.034,0.968,3.337
MAC,59,61,41,44,0.672,1.073,0.746,2.722
WHR,130,135,102,146,0.756,1.431,1.123,3.697
CAG,36,38,21,23,0.553,1.095,0.639,2.346
SWK,144,155,108,139,0.697,1.287,0.965,3.224
FMC,85,92,70,89,0.761,1.271,1.047,3.476
DPZ,270,301,234,261,0.777,1.115,0.967,3.289
MU,52,53,29,43,0.547,1.483,0.827,2.908
MYL,37,39,26,31,0.667,1.192,0.838,2.92
MS,50,50,37,42,0.74,1.135,0.84,3.07
EVRG,56,59,54,55,0.915,1.019,0.982,3.675
MSM,83,90,74,85,0.822,1.149,1.024,3.524
GPK,14,15,10,13,0.667,1.3,0.929,3.119
CRI,104,111,76,93,0.685,1.224,0.894,3.056
ALSN,46,53,41,50,0.774,1.22,1.087,3.505
NFLX,337,384,234,363,0.609,1.551,1.077,3.37
BG,66,71,51,52,0.718,1.02,0.788,2.839
AN,46,48,33,37,0.688,1.121,0.804,2.872
DLTR,90,96,80,97,0.833,1.212,1.078,3.678
GT,24,25,18,19,0.72,1.056,0.792,2.885
DFS,71,80,55,71,0.688,1.291,1.0,3.238
CPT,93,96,84,98,0.875,1.167,1.054,3.752
HAIN,28,30,15,18,0.5,1.2,0.643,2.343
WP,81,103,71,89,0.689,1.254,1.099,3.302
PTC,92,107,77,93,0.72,1.208,1.011,3.256
OKTA,51,75,44,84,0.587,1.909,1.647,4.245
DELL,51,59,43,56,0.729,1.302,1.098,3.463
GRUB,124,148,68,80,0.459,1.176,0.645,2.242
FOXA,45,46,44,51,0.957,1.159,1.133,4.124
TRGP,51,59,34,42,0.576,1.235,0.824,2.723
OFC,30,31,20,26,0.645,1.3,0.867,2.999
SWCH,13,14,6,9,0.429,1.5,0.692,2.56
POOL,156,175,138,159,0.789,1.152,1.019,3.416
AMZN,1789,2040,1344,1632,0.659,1.214,0.912,2.995
GIS,45,48,37,47,0.771,1.27,1.044,3.503
CPB,41,43,32,33,0.744,1.031,0.805,2.943
ACGL,30,31,25,32,0.806,1.28,1.067,3.646
HIW,49,50,37,47,0.74,1.27,0.959,3.324
LNT,42,46,41,46,0.891,1.122,1.095,3.805
NUAN,15,18,13,17,0.722,1.308,1.133,3.484
MFA,8,8,7,7,0.875,1.0,0.875,3.406
MMM,206,217,179,209,0.825,1.168,1.015,3.544
NEE,169,175,164,188,0.937,1.146,1.112,4.014
LAZ,53,53,34,36,0.642,1.059,0.679,2.562
FISV,74,83,69,85,0.831,1.232,1.149,3.762
SPR,88,94,66,98,0.702,1.485,1.114,3.585
EQIX,444,455,339,429,0.745,1.265,0.966,3.341
DTE,108,114,106,124,0.93,1.17,1.148,4.048
GRA,72,74,60,78,0.811,1.3,1.083,3.698
AMT,150,152,141,177,0.928,1.255,1.18,4.157
FRC,100,106,79,104,0.745,1.316,1.04,3.466
NUS,73,86,56,64,0.651,1.143,0.877,2.868
TWTR,32,36,26,32,0.722,1.231,1.0,3.274
RSG,73,75,68,78,0.907,1.147,1.068,3.86
SYY,67,76,60,67,0.789,1.117,1.0,3.362
NOW,177,205,149,235,0.727,1.577,1.328,3.962
REZI,28,28,19,26,0.679,1.368,0.929,3.219
PFG,56,61,41,53,0.672,1.293,0.946,3.142
ALLY,26,28,21,27,0.75,1.286,1.038,3.449
SGEN,69,83,51,71,0.614,1.392,1.029,3.175
BAH,47,53,43,54,0.811,1.256,1.149,3.72
CTSH,75,79,60,72,0.759,1.2,0.96,3.312
GPN,115,129,95,128,0.736,1.347,1.113,3.543
OI,19,20,16,20,0.8,1.25,1.053,3.583
ST,54,56,41,51,0.732,1.244,0.944,3.26
SYMC,20,21,18,23,0.857,1.278,1.15,3.897
BLUE,152,176,91,131,0.517,1.44,0.862,2.837
VMC,113,116,84,113,0.724,1.345,1.0,3.393
SITC,303,375,11,13,0.029,1.182,0.043,1.227
AMGN,195,209,178,188,0.852,1.056,0.964,3.472
FLIR,59,63,41,53,0.651,1.293,0.898,3.039
NI,26,28,24,27,0.857,1.125,1.038,3.632
SSNC,54,59,42,60,0.712,1.429,1.111,3.554
FCNCA,414,481,355,440,0.738,1.239,1.063,3.391
VAR,114,115,103,133,0.896,1.291,1.167,4.064
ESTC,70,73,61,94,0.836,1.541,1.343,4.282
IBKR,60,63,47,56,0.746,1.191,0.933,3.237
WMT,88,106,86,100,0.811,1.163,1.136,3.614
NDSN,132,146,111,137,0.76,1.234,1.038,3.427
WBT,22,23,11,16,0.478,1.455,0.727,2.639
GPS,29,33,25,25,0.758,1.0,0.862,3.011
BFAM,107,124,105,123,0.847,1.171,1.15,3.756
LAMR,72,80,65,78,0.812,1.2,1.083,3.602
LRCX,184,190,123,179,0.647,1.455,0.973,3.265
ORI,21,23,20,21,0.87,1.05,1.0,3.564
ENR,61,65,43,46,0.662,1.07,0.754,2.7
TJX,48,56,42,50,0.75,1.19,1.042,3.357
W,116,150,78,150,0.52,1.923,1.293,3.757
CNX,16,16,10,10,0.625,1.0,0.625,2.406
SRCL,71,71,35,45,0.493,1.286,0.634,2.406
DVN,43,44,21,30,0.477,1.429,0.698,2.582
FICO,204,240,172,249,0.717,1.448,1.221,3.697
ANET,262,309,188,275,0.608,1.463,1.05,3.252
DCI,47,59,41,52,0.695,1.268,1.106,3.34
BSX,33,39,32,41,0.821,1.281,1.242,3.871
CMA,97,100,64,88,0.64,1.375,0.907,3.101
ACHC,41,45,25,28,0.556,1.12,0.683,2.421
NEU,402,409,363,441,0.888,1.215,1.097,3.889
UPS,119,125,90,110,0.72,1.222,0.924,3.183
APA,44,49,25,33,0.51,1.32,0.75,2.59
CBSH,64,69,53,64,0.768,1.208,1.0,3.388
NCR,27,29,21,29,0.724,1.381,1.074,3.503
HBAN,15,16,11,14,0.688,1.273,0.933,3.153
XPO,96,116,44,52,0.379,1.182,0.542,2.011
CL,66,69,58,67,0.841,1.155,1.015,3.585
TRU,73,77,53,64,0.688,1.208,0.877,3.032
BMY,60,63,45,51,0.714,1.133,0.85,3.003
CY,18,18,12,16,0.667,1.333,0.889,3.112
CHK,4,5,2,3,0.4,1.5,0.75,2.57
PAYC,125,163,110,184,0.675,1.673,1.472,4.056
