,Change,Shares,DataSize,LoseStreak,Invested,CurrentValue,LastPurchase
RL,1.0590687977762334,12,3056,9,1439,1524,2018-11-21
FL,3.75,3,3056,7,48,180,2008-11-26
HBI,0.59375,13,3056,7,416,247,2017-01-04
PNR,0.8414872798434442,10,3056,8,511,430,2017-08-31
CPRI,0.6111111111111112,6,1807,10,432,264,2016-12-27
XRX,0.8157894736842105,4,3056,7,152,124,2017-11-28
PRGO,0.6743119266055045,21,3056,11,1526,1029,2018-12-26
LB,0.5154545454545455,21,3056,11,1100,567,2018-12-26
HOG,0.9070480081716037,24,3056,10,979,888,2018-12-26
LEG,0.88,22,3056,9,1150,1012,2018-10-16
FLS,0.9601167315175098,21,3056,10,1028,987,2018-12-26
HP,0.792,18,3056,11,1250,990,2018-12-26
ROL,0.8764044943820225,4,3056,7,178,156,2018-12-26
TRIP,0.6340057636887608,8,1813,8,694,440,2018-12-26
AMG,0.7286359530261969,37,3056,10,5535,4033,2018-10-15
IPGP,2.368763557483731,14,3056,9,922,2184,2018-12-20
FLR,0.6905951840072694,40,3056,10,2201,1520,2018-12-26
PWR,1.0140845070422535,6,3056,9,213,216,2007-12-18
GPS,0.8314855875831486,15,3056,7,451,375,2010-02-26
BHF,0.7107438016528925,6,2106,9,363,258,2018-12-26
AIZ,0.98,3,3056,8,300,294,2018-12-14
COTY,0.32459016393442625,9,1434,10,305,99,2016-09-30
JWN,1.0393700787401574,3,3056,7,127,132,2018-12-26
NWSA,0.5252525252525253,4,1430,7,99,52,2014-10-16
MAT,0.31217838765008576,13,3056,8,583,182,2012-08-08
MAC,0.529482551143201,10,3056,10,831,440,2015-04-02
DISCA,0.6525,18,3056,11,800,522,2015-01-23
GT,0.946843853820598,15,3056,9,301,285,2018-02-14
UA,0.2247191011235955,1,913,7,89,20,2016-01-06
