,Change,Shares,DataSize,LoseStreak,Invested,CurrentValue,LastPurchase
SO,0.8952551477170994,20,3056,9,1117,1000,2018-01-25
OXY,0.7957617829740592,33,3056,10,2737,2178,2018-06-18
NOC,2.156716417910448,19,3056,14,2546,5491,2018-12-26
NSC,2.7908496732026142,7,3056,7,459,1281,2015-01-14
SPGI,1.8753315649867375,14,3056,8,1508,2828,2018-10-01
CCI,1.6035634743875278,6,3056,8,449,720,2017-07-12
BK,0.8457446808510638,12,3056,8,752,636,2018-10-30
GD,1.75,14,3056,10,1384,2422,2018-12-26
EXC,0.9564564564564565,13,3056,8,666,637,2012-12-05
VRTX,1.6689930209371884,9,3056,8,1003,1674,2018-12-20
MU,0.9885057471264368,2,3056,7,87,86,2018-12-26
MMC,1.1953727506426735,5,3056,10,389,465,2018-12-26
ZTS,1.6666666666666667,1,1525,7,57,95,2015-07-16
PLD,1.3333333333333333,8,3056,9,432,576,2018-12-26
MPC,1.2923976608187135,17,1928,9,855,1105,2018-06-18
FDX,1.1858823529411764,14,3056,8,2125,2520,2018-12-18
MET,0.930576070901034,14,3056,9,677,630,2016-01-20
ITW,1.7644953471725124,17,3056,8,1397,2465,2018-12-26
ILMN,1.7093443469282394,11,3056,8,1937,3311,2019-01-31
AGN,0.7983682983682984,15,3056,9,2574,2055,2018-02-06
ECL,1.267071320182094,5,3056,8,659,835,2018-12-26
ICE,1.1735419630156472,22,3056,9,1406,1650,2017-10-31
EMR,1.0597269624573378,18,3056,9,1172,1242,2017-03-15
HUM,1.8535127055306428,8,3056,9,1338,2480,2017-09-26
KMB,1.475206611570248,12,3056,7,968,1428,2018-08-31
AON,1.1548791405550582,15,3056,12,2234,2580,2018-12-26
CTSH,1.7475728155339805,5,3056,8,206,360,2013-04-30
PSX,1.1616766467065869,6,1727,9,501,582,2018-12-26
BBT,1.0166112956810631,6,3056,9,301,306,2018-12-26
AEP,1.5735607675906182,18,3056,8,938,1476,2016-10-12
APD,1.5262860373092142,15,3056,9,1769,2700,2018-12-20
PRU,1.0351089588377724,18,3056,10,1652,1710,2018-12-26
WM,1.524390243902439,10,3056,9,656,1000,2018-12-26
ADI,1.2874493927125505,3,3056,7,247,318,2018-10-16
COF,0.9200363471149478,25,3056,12,2201,2025,2018-12-26
AMAT,1.481012658227848,3,3056,7,79,117,2018-12-26
AIG,0.28550969925790914,51,3056,15,7681,2193,2018-12-12
HCA,3.4932614555256065,9,2002,9,371,1296,2014-11-06
TGT,0.9693343305908751,18,3056,9,1337,1296,2017-02-08
USD,2.5535714285714284,44,3036,8,672,1716,2015-07-28
AFL,1.1256756756756756,17,3056,9,740,833,2018-07-13
BAX,1.3842281879194631,11,3056,10,596,825,2018-10-16
KMI,0.46060606060606063,44,2020,9,1815,836,2015-08-06
EW,1.2490974729241877,6,3056,9,831,1038,2018-12-26
SHW,1.918206352501557,21,3056,10,4817,9240,2018-10-05
MAR,1.7587433313574392,23,3056,11,1687,2967,2018-12-26
VLO,1.2686567164179106,9,3056,10,603,765,2018-07-06
FIS,1.7351351351351352,6,3056,7,370,642,2016-11-01
ADSK,3.9193548387096775,6,3056,8,248,972,2012-01-05
ROST,1.2464088397790056,12,3056,10,905,1128,2018-12-26
ETN,1.1778829895164018,43,3056,15,2957,3483,2018-12-14
EL,2.0126582278481013,3,3056,7,237,477,2014-04-08
TRV,1.1536203522504893,18,3056,10,2044,2358,2017-09-06
EQIX,2.619276057566507,14,3056,9,2293,6006,2018-12-26
F,0.75,32,3056,10,384,288,2008-11-28
FISV,1.0759493670886076,1,3056,7,79,85,2018-12-26
JCI,0.7309644670050761,8,3056,7,394,288,2014-04-16
ROP,3.0407673860911273,12,3056,11,1251,3804,2016-10-19
ALL,1.0614525139664805,2,3056,8,179,190,2018-12-17
REGN,1.6175908221797324,20,3056,12,5230,8460,2018-12-26
RHT,2.8996478873239435,9,3056,8,568,1647,2017-09-28
SYY,1.0334190231362468,6,3056,8,389,402,2018-12-26
ATVI,0.5915492957746479,7,3056,8,497,294,2018-08-10
DAL,0.8387096774193549,2,2973,7,124,104,2018-10-16
DG,1.372093023255814,7,2333,7,602,826,2018-12-26
ORLY,1.4826254826254825,2,3056,7,518,768,2018-02-06
XLNX,1.7789256198347108,7,3056,7,484,861,2017-12-18
PSA,1.0312981015905593,10,3056,9,1949,2010,2017-05-04
KHC,0.44554455445544555,27,916,10,2121,945,2018-12-27
STI,1.0731707317073171,22,3056,10,1353,1452,2018-12-26
YUM,1.4766839378238341,3,3056,7,193,285,2016-10-19
EA,1.3617021276595744,10,3056,8,705,960,2018-12-26
PEG,1.3571428571428572,1,3056,7,42,57,2013-06-06
ALXN,1.1183625037080984,29,3056,10,3371,3770,2018-03-28
MCO,1.5685681904042312,24,3056,9,2647,4152,2018-12-26
TEL,1.189199118295371,39,2944,14,2722,3237,2018-10-16
APH,1.8120481927710843,16,3056,11,830,1504,2018-10-16
GIS,0.9832635983263598,5,3056,8,239,235,2018-12-20
OKE,1.0365853658536586,5,3056,9,328,340,2014-11-07
VFC,1.318007662835249,4,3056,8,261,344,2018-12-26
WELL,1.1194029850746268,8,3056,8,536,600,2018-12-26
LYB,1.0642750373692078,16,2221,10,1338,1424,2018-12-26
GLW,1.25,14,3056,10,392,490,2011-08-15
LRCX,2.5510688836104514,6,3056,7,421,1074,2017-02-17
LUV,1.411764705882353,4,3056,8,153,216,2018-12-26
HAL,0.5210084033613446,4,3056,9,238,124,2014-10-15
STZ,1.119205298013245,7,3056,11,1057,1183,2018-12-26
STT,0.8102893890675241,14,3056,8,1244,1008,2018-12-14
EQR,1.091579594345421,24,3056,9,1627,1776,2018-01-23
AVB,1.1939086294416243,18,3056,9,2955,3528,2018-01-19
PPG,1.6968152866242039,12,3056,11,785,1332,2018-12-26
IR,1.3417721518987342,35,3056,12,2765,3710,2018-12-26
CNC,1.1341772151898735,7,3056,8,395,448,2018-12-17
MCK,1.2505966587112172,16,3056,11,1676,2096,2015-07-06
ZBH,1.3777777777777778,13,3056,8,1170,1612,2017-08-04
ED,1.2478260869565216,7,3056,7,460,574,2016-10-13
A,1.5789473684210527,5,3056,8,247,390,2018-12-26
HLT,1.2934782608695652,7,1307,8,460,595,2017-07-05
FOX,1.457142857142857,4,3056,7,140,204,2014-10-15
MTB,1.4770992366412214,9,3056,9,1048,1548,2018-12-20
PAYX,1.1223628691983123,14,3056,9,948,1064,2018-12-26
PCAR,1.2280701754385965,10,3056,10,570,700,2018-10-26
DLR,1.2810615199034983,9,3056,8,829,1062,2017-07-12
DFS,1.1902332361516035,23,2944,10,1372,1633,2018-12-26
WEC,1.0814606741573034,5,3056,8,356,385,2018-05-25
