,Change,Shares,DataSize,LoseStreak,Invested,CurrentValue,LastPurchase
BAB,0.7317073170731707,1,2300,7,41,30,2016-08-08
BAL,0.7248062015503876,17,2300,8,1032,748,2018-08-27
BAR,0.9652650822669104,4,370,7,547,528,2018-08-24
BBC,0.6812227074235808,12,1052,9,458,312,2018-12-24
BBH,1.2763532763532763,7,2300,8,702,896,2018-12-26
BBP,0.9534883720930233,18,1052,12,774,738,2017-06-02
BBRC,0.6566523605150214,18,1638,9,466,306,2018-12-26
BCD,0.7069059271343121,156,477,11,5517,3900,2019-01-04
BCI,0.6764705882352942,2,476,7,68,46,2017-12-14
BCM,0.5933400605449042,21,1972,7,991,588,2014-10-08
BDCL,0.4778761061946903,18,1949,10,565,270,2017-11-08
BDCS,0.578420467185762,26,1968,8,899,520,2017-11-03
BDD,0.31496062992125984,5,2300,8,127,40,2010-09-28
BDRY,0.3548387096774194,1,232,7,31,11,2018-04-12
BFOR,1.1317440401505645,22,1441,7,797,902,2013-09-09
BIB,0.9123222748815166,7,2234,8,422,385,2018-12-26
BIBL,0.7152317880794702,4,326,7,151,108,2018-10-08
BIKR,0.7352941176470589,4,169,7,136,100,2018-09-12
BIS,0.04182531779040478,42,2234,11,17071,714,2016-08-04
BIV,0.8817204301075269,10,2300,8,930,820,2010-12-17
BIZD,0.5948081264108352,62,1518,10,1772,1054,2015-09-30
BJK,0.9193548387096774,3,2300,7,124,114,2018-12-26
BKF,0.8279569892473119,11,2300,9,558,462,2010-05-21
BLCN,0.7586206896551724,1,277,7,29,22,2019-01-02
BLHY,0.6956521739130435,2,550,8,69,48,2018-05-01
BLV,0.898989898989899,3,2300,8,297,267,2016-11-23
BMLP,0.8545994065281899,30,526,5,1685,1440,2019-02-22
BNO,0.7307692307692307,21,2197,9,546,399,2018-12-26
BOIL,0.10451977401129943,37,1856,11,7788,814,2017-12-22
BOM,0.36792452830188677,26,2300,9,636,234,2014-07-02
BOND,0.8976572133168927,7,1756,9,811,728,2015-12-01
BOS,0.7058823529411765,9,2300,7,255,180,2011-08-08
BOSS,0.1702127659574468,6,2110,8,705,120,2015-06-10
BOTZ,0.6683804627249358,13,615,7,389,260,2018-11-15
BRF,8.581534772182254,17,1954,9,834,7157,2012-06-06
BRZU,0.15217391304347827,7,1479,8,1702,259,2015-03-11
BSCJ,0.6939655172413793,23,1736,7,696,483,2013-07-25
BSCK,0.6853448275862069,53,1736,9,1624,1113,2013-07-22
BSJK,0.7032967032967034,8,1363,8,273,192,2015-09-11
BSJM,0.6894664842681258,21,1116,11,731,504,2018-06-06
BSJN,0.7058823529411765,6,836,8,221,156,2017-08-18
BTAL,0.6774193548387096,7,1873,7,217,147,2012-02-29
BUZ,0.8957133717210493,80,712,13,3126,2800,2017-10-03
BYLD,0.690978886756238,45,1217,7,1563,1080,2018-02-26
BZQ,0.15443360203648707,14,2300,12,2357,364,2014-03-26
CACG,0.7701283547257877,22,454,7,857,660,2018-11-29
CALF,0.6878306878306878,5,423,7,189,130,2018-10-08
CAPE,1.5436707761764195,70,1600,9,5759,8890,2018-12-26
CARZ,0.7213578500707214,15,1960,10,707,510,2013-09-30
CATH,0.85,1,712,7,40,34,2018-12-26
CBON,0.6760647870425914,49,1077,9,1667,1127,2016-01-19
CDC,0.819672131147541,10,1169,9,549,450,2018-10-02
CDL,0.92,1,914,7,50,46,2018-12-26
CEFL,0.4117647058823529,1,1290,7,34,14,2014-12-24
CEFS,0.6666666666666666,5,485,7,150,100,2018-04-04
CEMB,0.7940298507462686,38,1722,7,2345,1862,2018-05-17
CEZ,0.2771726535341831,46,2298,9,4315,1196,2018-10-30
CFA,0.9345794392523364,6,1169,10,321,300,2018-12-26
CFO,1.0384245917387127,23,1169,10,1041,1081,2018-12-26
CGW,1.1956521739130435,22,2300,9,644,770,2011-09-12
CHAD,0.7388059701492538,3,928,7,134,99,2018-02-08
CHAU,0.7214723926380369,28,1081,8,815,588,2017-02-28
CHGX,0.693815987933635,23,344,7,663,460,2018-05-03
CHII,0.6382978723404256,8,2300,7,188,120,2015-10-05
CHIX,0.6558245083207261,51,2287,11,1322,867,2017-08-16
CIBR,1.0144927536231885,20,915,9,552,560,2016-01-29
CID,0.7804878048780488,1,883,7,41,32,2016-07-20
CIL,0.95,27,2285,9,1080,1026,2015-03-18
CIZ,0.7111111111111111,1,1106,7,45,32,2018-02-16
CMF,0.8676470588235294,3,2300,7,204,177,2015-03-11
CN,0.8320647002854424,106,1213,14,4204,3498,2018-07-16
CNCR,0.6884779516358464,22,845,9,703,484,2017-01-13
CNXT,0.5892351274787535,8,1154,8,353,208,2016-02-16
CNY,0.8464667005592272,37,2300,11,1967,1665,2015-07-06
CNYA,0.7452062754212667,95,676,10,3442,2565,2017-03-22
COMT,0.6593406593406593,20,1095,13,1001,660,2015-01-27
COPX,0.6494464944649446,40,2227,14,1355,880,2016-06-01
CORN,0.5402597402597402,39,2192,9,1155,624,2016-09-07
CORP,0.9058614564831261,15,2120,10,1689,1530,2016-12-19
COW,1.265625,27,2300,10,1024,1296,2015-08-17
CPI,0.7835051546391752,38,2300,7,1358,1064,2013-04-08
CQQQ,0.9531163816878102,36,2287,10,1813,1728,2018-12-26
CRAK,0.7158351409978309,11,883,7,461,330,2018-07-20
CRBN,1.0511882998171846,15,1056,11,1641,1725,2018-12-26
CROC,0.936986301369863,19,1659,10,1095,1026,2017-11-03
CSA,0.8407871198568873,10,2081,10,559,470,2018-10-16
CSB,0.5244610281923715,55,2300,14,4824,2530,2018-09-14
CSD,0.9397590361445783,12,2300,11,664,624,2018-12-26
CSF,0.8322286661143331,98,2300,13,4828,4018,2018-10-15
CSM,1.4285714285714286,15,2300,8,714,1020,2018-12-26
CURE,1.217081850533808,6,1935,8,281,342,2018-12-26
CWB,0.8624390243902439,34,2300,7,2050,1768,2018-01-26
CWEB,0.49122807017543857,2,573,8,114,56,2017-12-05
CWI,0.8955223880597015,5,2300,7,201,180,2015-10-02
CWS,0.8403593642017968,38,609,8,1447,1216,2017-08-11
CZA,0.9379310344827586,22,2300,9,1595,1496,2018-12-26
DAG,0.11494252873563218,50,2300,9,870,100,2015-04-20
DALT,0.49107142857142855,11,349,8,224,110,2018-08-28
DAX,0.6020642201834863,21,1090,14,872,525,2017-12-29
DBA,0.40189125295508277,10,2300,7,423,170,2011-05-25
DBAW,0.8244274809160306,12,1278,7,393,324,2016-08-04
WOOD,1.1524822695035462,25,2300,11,1410,1625,2018-12-26
WPS,0.8038461538461539,22,2300,7,1040,836,2015-08-14
WTID,0.43342776203966005,17,535,12,353,153,2019-02-07
WTIU,0.5381165919282511,8,535,9,223,120,2018-11-09
XAR,1.3624454148471616,13,1861,8,916,1248,2018-12-26
XBI,1.174863387978142,5,2300,7,366,430,2018-12-26
XCEM,0.7587548638132295,90,874,12,3084,2340,2017-04-24
XDIV,0.8421052631578947,2,245,3,133,112,2019-02-22
XES,0.39611650485436894,17,2300,10,515,204,2018-10-30
XHB,0.8342245989304813,4,2300,7,187,156,2015-07-06
XHE,1.1967340590979783,19,2031,10,1286,1539,2018-12-26
XHS,1.0144927536231885,17,1861,10,1173,1190,2018-12-26
XITK,1.0048780487804878,4,782,9,410,412,2018-10-12
XKII,0.7435897435897436,3,290,4,117,87,2019-02-22
XLB,1.061611374407583,16,2300,12,844,896,2018-12-26
XLE,0.9138461538461539,9,2300,7,650,594,2018-12-26
XLG,1.5413173652694612,13,2300,9,1670,2574,2018-12-26
XLI,1.0193740685543964,9,2300,10,671,684,2018-12-26
XLK,1.0441176470588236,1,2300,7,68,71,2018-12-26
XLP,0.903010033444816,5,2300,8,299,270,2018-12-26
XLRE,0.8433734939759037,8,849,9,332,280,2016-05-02
XLU,1.2666666666666666,2,2300,7,90,114,2011-12-21
XLV,1.013623978201635,4,2300,9,367,372,2018-12-26
XLY,2.775,6,2300,7,240,666,2011-08-09
XME,0.7224835371589841,24,2300,10,1063,768,2015-01-27
XMLV,1.3074484944532487,33,1515,10,1262,1650,2018-12-26
XMPT,0.6432246998284734,45,1916,10,1749,1125,2017-04-11
XNTK,0.711340206185567,1,2300,7,97,69,2018-10-12
XOP,0.5880758807588076,14,2300,11,738,434,2018-12-26
XPH,0.8351851851851851,11,2300,9,540,451,2018-12-26
XPP,1.191275167785235,5,2300,9,298,355,2012-05-21
XRT,0.9080717488789237,9,2300,8,446,405,2018-12-26
XSD,2.5483870967741935,1,2300,7,31,79,2012-05-21
XSHD,0.7101086048454469,34,554,13,1197,850,2017-03-27
XSHQ,0.7466666666666667,2,470,7,75,56,2018-10-12
XSW,1.354112554112554,17,1861,9,1155,1564,2018-10-16
XT,0.9977528089887641,12,987,10,445,444,2018-01-05
XTL,1.124229979466119,30,2031,10,1948,2190,2018-12-26
XTN,1.7107438016528926,23,2031,13,847,1449,2018-12-26
XWEB,1.0171428571428571,2,668,7,175,178,2018-10-11
YANG,0.0028772310381002223,27,2300,10,422281,1215,2018-02-21
YCL,0.6048891415577032,19,2300,9,1759,1064,2014-11-25
YCS,1.1323631323631325,43,2300,10,2886,3268,2017-08-18
YINN,0.8290909090909091,19,2300,9,550,456,2014-10-08
YMLP,0.2294141745186399,28,1747,11,2441,560,2016-02-24
YXI,0.475,22,2249,8,880,418,2016-03-10
YYY,0.5454545454545454,13,1685,8,429,234,2014-02-21
ZBIO,0.25735294117647056,5,924,9,272,70,2016-08-04
ZIV,1.1148775894538607,8,2071,8,531,592,2018-12-26
ZMLP,0.4897338403041825,46,1279,10,1315,644,2019-01-18
ZROZ,0.9284037558685446,7,2300,10,852,791,2015-09-09
ZSL,0.36649214659685864,8,2300,8,764,280,2016-07-28
DBC,0.460431654676259,4,2300,7,139,64,2010-11-23
DBEF,0.9021164021164021,22,1939,9,756,682,2018-11-06
DBEM,0.7175697865353038,19,1939,8,609,437,2015-04-07
DBGR,0.7352941176470589,1,1939,7,34,25,2014-02-04
DBKO,0.9032258064516129,11,1278,7,341,308,2015-09-10
DBLV,0.9701492537313433,2,188,7,134,130,2018-12-26
DBP,0.7956989247311828,4,2300,7,186,148,2017-01-19
DBS,0.6700167504187605,50,2300,11,1791,1200,2015-07-22
DBUK,0.6139742319127849,59,1358,8,2018,1239,2016-12-07
DDEZ,0.6846275752773375,108,768,7,4417,3024,2018-09-10
DDG,0.6333333333333333,19,2300,8,720,456,2014-10-01
DDM,1.0217391304347827,4,2300,10,184,188,2018-12-26
DDP,0.9819879919946631,32,2300,9,1499,1472,2014-12-10
DEF,0.930379746835443,3,2300,8,158,147,2018-12-26
DEM,0.6835922697991663,41,2300,10,2639,1804,2014-02-11
DES,0.8656716417910447,2,2300,8,67,58,2018-12-26
DEUS,0.868421052631579,13,799,8,494,429,2018-12-26
DEW,0.9057665260196905,28,2300,8,1422,1288,2016-06-30
DFE,0.8529411764705882,1,2300,7,68,58,2018-10-19
DFEN,1.0337837837837838,6,455,8,296,306,2018-12-26
DGAZ,0.0902473545865067,13,1771,11,14837,1339,2018-12-04
DGL,0.7602649006622516,14,2300,8,755,574,2014-06-12
DGLD,0.5568181818181818,7,1849,10,528,294,2016-02-09
DGP,0.7375886524822695,12,2300,7,423,312,2016-06-14
DGRO,1.0,2,1183,8,74,74,2014-12-02
DGS,0.7580645161290323,2,2300,7,124,94,2011-02-01
DGT,0.9405099150141643,12,2300,12,1059,996,2018-12-26
DHS,1.323017408123791,19,2300,9,1034,1368,2018-12-26
DIA,1.6022408963585435,11,2300,10,1785,2860,2018-12-26
DIAL,1.1570247933884297,7,1334,9,121,140,2010-07-21
DIG,0.7045009784735812,24,2300,10,1022,720,2018-12-26
DIM,1.027979274611399,16,2300,8,965,992,2015-10-02
DINT,0.6801007556675063,15,245,7,397,270,2018-11-01
DIVA,0.7058823529411765,3,1020,5,102,72,2019-02-22
DJCI,0.375,2,2300,7,80,30,2011-05-18
DJP,0.696969696969697,8,2300,7,264,184,2017-03-31
DLBS,0.4090909090909091,5,2149,8,220,90,2011-12-21
DLN,1.3968379446640315,19,2300,10,1265,1767,2018-12-26
DLS,0.9354330708661417,36,2300,9,2540,2376,2017-10-10
DMRI,0.7779578606158833,10,392,8,617,480,2018-06-28
DMRL,0.841726618705036,26,392,11,1668,1404,2018-12-26
DMRM,0.7819548872180451,2,392,7,133,104,2018-09-12
DMRS,0.8670829616413916,18,392,7,1121,972,2019-02-08
DNL,0.9425403225806451,17,2300,8,992,935,2018-10-09
DOG,0.44313603966532383,26,2300,11,3227,1430,2016-12-27
DOL,0.8235807860262009,41,2300,10,2290,1886,2015-10-15
DON,1.1748251748251748,42,2300,8,1287,1512,2018-12-26
DPK,0.0865654862282181,11,2300,12,1779,154,2014-02-19
DPST,0.9307479224376731,12,883,12,722,672,2018-12-20
DRIP,0.297029702970297,6,939,8,202,60,2017-09-28
DRN,1.2,6,2300,7,120,144,2018-12-26
DRR,0.9348281016442451,53,2300,12,3345,3127,2016-04-13
DRV,0.02195069204152249,29,2300,12,9248,203,2015-11-04
DSI,1.0970464135021096,5,2300,9,474,520,2018-12-26
DSLV,0.5513866231647635,13,1849,9,613,338,2014-07-15
DSTL,0.8125,2,82,7,64,52,2018-12-26
DTD,1.0722433460076046,9,2300,10,789,846,2018-12-26
DTN,1.1172901921132457,13,2300,10,989,1105,2018-12-26
DTO,0.6286149162861492,7,2300,8,657,413,2018-01-25
DTYL,1.3628318584070795,2,2149,8,113,154,2010-12-13
DTYS,0.49709302325581395,9,2149,9,344,171,2013-05-03
DUG,0.6061814556331007,16,2300,10,1003,608,2018-01-16
DUSL,0.8366013071895425,4,455,7,153,128,2018-12-26
DUST,0.08015430775825118,11,2065,9,2333,187,2018-07-09
DVP,0.8,4,1112,7,165,132,2018-12-26
DVY,1.0503978779840848,4,2300,9,377,396,2018-12-26
DVYA,0.6617647058823529,2,1760,7,136,90,2014-06-18
DVYE,0.7160678642714571,35,1760,10,2004,1435,2017-12-07
DVYL,1.0381679389312977,4,1698,9,262,272,2018-12-26
DWAQ,1.0030959752321982,9,2300,9,969,972,2018-12-26
DWAS,0.8611632270168855,9,1659,7,533,459,2018-01-12
DWIN,0.68359375,7,743,10,256,175,2016-05-16
DWM,0.9254218835057159,34,2300,8,1837,1700,2012-12-11
DWMC,0.6666666666666666,11,156,9,363,242,2018-10-16
DWPP,0.7894736842105263,3,537,7,114,90,2018-11-01
DWSH,0.6605504587155964,3,156,8,109,72,2019-01-23
DWT,0.40875912408759124,14,553,8,274,112,2019-02-07
DWTR,0.8285714285714286,3,848,7,105,87,2015-11-18
DWX,0.6561151079136691,12,2300,8,695,456,2015-07-28
DXD,0.18489907799651134,53,2300,10,8026,1484,2019-02-21
DXJ,0.9026548672566371,6,2300,8,339,306,2018-03-28
DYLS,0.782608695652174,3,790,8,115,90,2018-12-26
DZK,1.0099857346647647,12,2300,9,701,708,2018-12-26
EBND,0.683282208588957,33,2012,8,1304,891,2013-09-10
ECH,0.7474006116207951,26,2300,10,1635,1222,2018-10-31
ECNS,0.7602574416733708,21,2114,11,1243,945,2018-07-26
EDC,0.9318181818181818,4,2300,8,352,328,2018-12-26
EDEN,1.5443037974683544,4,1780,7,158,244,2012-04-24
EDIV,0.7521367521367521,22,2012,9,936,704,2015-09-14
EDOG,0.6191607284243864,68,1235,16,2526,1564,2016-05-10
EDV,1.049079754601227,3,2300,8,326,342,2013-09-17
EDZ,0.039660482235409,12,2300,9,13313,528,2018-02-21
EEB,1.135135135135135,7,2300,9,222,252,2016-02-03
EEH,0.814663951120163,40,2300,8,982,800,2015-02-20
EELV,0.7720815318097591,50,1788,8,1619,1250,2016-08-11
EEM,0.8874296435272045,11,2300,8,533,473,2018-05-30
EEMA,0.9246924692469247,46,1770,11,3333,3082,2018-07-25
EEMO,0.6672340425531915,98,1760,7,2350,1568,2016-06-06
EEMS,0.76171875,52,1890,20,3072,2340,2013-04-09
EEMV,0.9049079754601227,5,1846,7,326,295,2014-12-17
EES,0.9212121212121213,4,2300,9,165,152,2018-12-26
EET,0.8176795580110497,2,2300,7,181,148,2010-05-12
EEV,0.5047210300429185,14,2300,10,1165,588,2019-01-29
EFA,0.8780487804878049,9,2300,8,656,576,2018-12-26
EFAV,1.0,6,1846,8,426,426,2016-01-22
EFAX,0.9519230769230769,3,578,8,208,198,2018-12-26
EFFE,0.6944444444444444,119,1090,9,4284,2975,2019-01-22
EFG,1.256198347107438,6,2300,8,363,456,2011-08-09
EFNL,0.967741935483871,10,1780,9,403,390,2015-10-02
EFO,0.7915869980879541,23,2300,10,1046,828,2014-02-14
EFU,0.28623289583915107,41,2300,12,3581,1025,2013-10-03
EFV,0.875,6,2300,7,336,294,2016-01-14
EFZ,0.608793686583991,20,2300,8,887,540,2017-02-28
EGPT,0.5177664974619289,63,2269,13,4137,2142,2018-05-16
EIDO,0.7266530334014997,41,2214,8,1467,1066,2015-02-03
EIRL,1.4137931034482758,1,2212,7,29,41,2010-07-07
EIS,0.9574468085106383,27,2300,11,1551,1485,2018-12-26
ELD,0.5964912280701754,1,2150,7,57,34,2011-09-23
EMB,0.8758217677136596,66,2300,10,8214,7194,2015-07-16
EMBH,0.6965026674570243,47,898,8,1687,1175,2018-06-22
EMCB,0.8026500191107148,90,1751,13,7849,6300,2018-08-21
EMCG,0.6697892271662763,26,1360,7,854,572,2017-05-15
EMDV,0.8943022295623452,19,774,10,1211,1083,2017-08-18
EMFM,0.5827937095282146,30,1331,10,1081,630,2014-10-16
EMGF,0.900523560209424,28,799,9,1337,1204,2017-02-10
EMHY,0.7634079068342017,53,1733,10,3263,2491,2014-12-17
EMIF,0.7754442649434572,16,2300,8,619,480,2016-11-22
EMLC,0.6623376623376623,3,2161,7,154,102,2014-12-17
EMQQ,0.96875,1,1073,7,32,31,2015-07-08
EMTL,0.8356313497822931,47,712,7,2756,2303,2019-02-22
EMTY,0.7876447876447876,18,318,10,777,612,2018-01-23
ENFR,0.7,35,1335,12,1050,735,2018-12-26
ENOR,0.6493506493506493,2,1782,7,77,50,2013-04-22
EPHE,0.7555555555555555,1,2114,7,45,34,2014-04-29
EPOL,0.7076923076923077,2,2201,7,65,46,2011-10-04
EPP,0.9405204460966543,11,2300,8,538,506,2011-12-23
EPRF,0.6946308724832215,9,692,8,298,207,2018-03-09
EPS,0.96,9,2300,7,300,288,2015-01-27
EPU,0.8972099853157122,47,2300,10,2043,1833,2018-08-24
EPV,0.42027946972411323,69,2300,12,5582,2346,2017-05-30
EQL,1.2566371681415929,24,2300,8,1356,1704,2018-12-26
EQRR,0.7962962962962963,1,398,7,54,43,2018-02-09
EQWL,0.8773006134969326,26,2300,8,1630,1430,2018-11-28
EQWM,1.0125234815278648,33,2300,9,1597,1617,2015-09-02
ERUS,0.6738232865400495,24,2084,9,1211,816,2014-10-08
ERX,0.38528896672504376,10,2300,9,571,220,2018-12-26
ERY,0.03166486380175042,23,2300,12,30507,966,2019-02-07
ESGU,0.9494163424124513,4,556,9,257,244,2018-12-26
ESGV,0.8712871287128713,11,106,11,606,528,2018-12-26
ESML,0.8709677419354839,1,195,7,31,27,2018-12-26
ETHO,0.8589285714285714,13,819,11,560,481,2018-12-26
EUFL,0.5790309769658459,27,622,11,1259,729,2018-07-13
EUFN,0.5583941605839416,34,2279,12,1096,612,2014-02-06
EUFX,0.9552353506243996,113,1662,7,5205,4972,2014-03-03
EUM,0.5632823365785814,225,2300,11,7190,4050,2017-10-17
EUO,0.8551307847082495,34,2300,8,994,850,2017-09-01
EURL,0.5909090909090909,1,1281,7,44,26,2018-04-03
EUSA,1.176360225140713,22,2214,11,1066,1254,2018-12-26
EUSC,0.8127608825283243,47,1001,11,1677,1363,2018-11-21
EUXL,0.4413793103448276,24,412,8,870,384,2018-05-04
EVX,1.3057692307692308,7,1693,9,520,679,2018-12-26
EWA,0.7094594594594594,15,2300,8,444,315,2018-12-26
EWC,0.7659574468085106,9,2300,7,329,252,2018-03-05
EWEM,0.6652806652806653,30,2065,16,1443,960,2018-04-03
EWG,0.6570796460176991,22,2300,8,904,594,2014-05-07
EWH,0.7703703703703704,4,2300,7,135,104,2017-11-20
EWI,0.7971428571428572,31,2300,8,1050,837,2016-02-04
EWK,0.6532258064516129,9,2300,7,248,162,2018-11-26
EWM,0.5254237288135594,6,2300,8,354,186,2013-08-28
EWMC,1.0819672131147542,3,2065,8,183,198,2016-11-08
EWO,0.5633802816901409,2,2300,7,71,40,2018-04-17
EWP,0.5870445344129555,20,2300,7,988,580,2018-12-26
EWQ,0.9666666666666667,1,2300,7,30,29,2011-08-11
EWSC,1.2488262910798122,14,2065,9,639,798,2018-12-26
EWT,0.8717948717948718,2,2300,7,78,68,2019-01-04
EWU,0.7066246056782335,7,2300,7,317,224,2013-01-10
EWV,0.2895656515227159,60,2300,12,6009,1740,2016-08-08
EWW,0.645933014354067,3,2300,8,209,135,2014-12-16
EWX,0.80253766851705,23,2300,10,1261,1012,2015-08-27
EWY,0.7529411764705882,1,2300,7,85,64,2018-04-03
EWZ,0.731408573928259,19,2300,9,1143,836,2013-06-26
EWZS,0.460431654676259,4,2114,7,139,64,2013-06-06
EXI,1.1710526315789473,14,2300,10,1064,1246,2018-12-26
EXT,0.8495575221238938,3,2300,8,113,96,2018-12-26
EZA,0.7858627858627859,14,2300,10,962,756,2018-06-29
EZM,0.8666666666666667,13,2300,9,615,533,2018-12-26
EZU,0.8050847457627118,40,2300,8,1888,1520,2014-10-08
FAAR,0.6866118175018698,34,693,8,1337,918,2018-02-14
FAB,0.873015873015873,1,2300,7,63,55,2018-11-15
FAD,1.126984126984127,3,2300,7,189,213,2018-12-26
FAS,0.9780077619663649,12,2300,11,773,756,2018-12-26
FAUS,0.7642526964560863,16,1762,10,649,496,2013-09-18
FAZ,0.12278928751894896,27,2300,10,1979,243,2016-12-12
FBGX,1.5,6,1184,9,960,1440,2018-03-26
FBND,0.8124006359300477,73,1100,10,4403,3577,2015-02-13
FBT,1.1352313167259787,11,2300,10,1405,1595,2018-12-26
FBZ,0.6956521739130435,1,1974,7,23,16,2018-05-30
FCA,0.7671665351223362,36,1972,10,1267,972,2018-12-26
FCAN,0.5433526011560693,47,1764,9,2076,1128,2015-03-16
FCG,0.26473859844271413,14,2300,9,899,238,2018-11-21
FDD,0.5909090909090909,2,2300,7,44,26,2011-08-11
FDHY,0.8458646616541353,45,174,14,2660,2250,2018-12-28
FDIV,0.8287292817679558,9,1139,7,543,450,2017-02-02
FDL,1.2,1,2300,7,25,30,2010-10-20
FDM,0.8463476070528967,7,2300,8,397,336,2018-12-26
FDN,1.1610169491525424,1,2300,7,118,137,2018-12-26
FDRR,0.8495575221238938,3,613,8,113,96,2018-12-26
FDT,1.0628019323671498,4,1974,8,207,220,2011-08-11
FDVV,0.8333333333333334,17,613,7,612,510,2017-02-03
FEM,0.7487706750111757,67,1974,11,2237,1675,2017-05-19
FEMB,0.7497403946002077,19,1081,9,963,722,2018-07-12
FEMS,0.9155313351498637,28,1764,8,1101,1008,2016-12-07
FENY,0.6067415730337079,15,1341,9,445,270,2015-08-10
FEP,0.677536231884058,11,1970,8,552,374,2018-05-08
FEU,0.7686148919135308,30,2300,8,1249,960,2015-10-15
FEUZ,0.9304123711340206,19,1088,8,776,722,2018-07-30
FEX,0.994475138121547,3,2300,9,181,180,2018-12-26
FEZ,0.8780487804878049,2,2300,7,82,72,2011-12-09
FFEU,1.1168831168831168,1,229,7,77,86,2018-12-26
FFR,1.146341463414634,3,2300,8,123,141,2011-03-11
FFTY,0.7764705882352941,2,976,7,85,66,2018-10-23
FHK,0.7367256637168141,9,1760,9,452,333,2015-07-09
FHLC,1.1363636363636365,65,1341,15,2574,2925,2018-12-26
FID,0.0018824050492747203,1,876,7,9031,17,2015-12-30
FIDU,0.826271186440678,10,1341,9,472,390,2018-10-25
FIEE,1.1196911196911197,2,759,8,259,290,2018-12-26
FIEG,1.3125,2,1353,7,256,336,2015-07-06
FIHD,1.0819366852886405,7,755,11,1074,1162,2018-12-26
FILL,0.631640625,154,1775,20,5120,3234,2015-07-28
FINU,1.6506935687263555,17,1662,9,793,1309,2018-12-26
FINX,0.7751196172248804,6,615,8,209,162,2018-11-01
FINZ,0.16183412002697237,30,1662,11,1483,240,2016-09-19
FIVA,0.6547619047619048,5,271,9,168,110,2018-04-04
FIW,1.328735632183908,34,2300,11,1305,1734,2018-12-26
FIYY,1.094890510948905,3,229,9,274,300,2018-12-24
FJP,0.9340659340659341,17,1970,9,910,850,2014-05-19
FKU,0.7644628099173554,5,1759,7,242,185,2018-09-28
FLAG,0.82,11,1526,11,550,451,2018-04-03
FLDR,0.8333333333333334,40,172,0,2400,2000,2019-02-22
FLGE,0.8936959208899876,3,1184,8,809,723,2018-10-16
FLIN,0.6988352745424293,20,261,7,601,420,2018-11-01
FLM,0.9444444444444444,3,2300,7,162,153,2018-12-26
FLN,0.60431654676259,4,1973,7,139,84,2011-12-20
FLQE,0.7317073170731707,4,682,7,164,120,2017-07-26
FLQH,0.6923076923076923,75,685,9,2600,1800,2018-04-10
FLQL,0.8532110091743119,3,418,7,109,93,2018-12-26
FLQS,0.8252032520325203,7,418,9,246,203,2018-12-26
FLTB,0.8333333333333334,1,1100,7,60,50,2017-06-28
FM,0.6578449905482041,12,1620,9,529,348,2014-05-02
FMAT,0.8808732795443759,58,1341,13,2107,1856,2018-12-26
FMB,0.8384970336189849,48,1202,15,3034,2544,2018-02-20
FMF,0.7583508877520313,56,1399,8,3323,2520,2014-09-26
FNDA,0.9285714285714286,3,1390,9,126,117,2018-12-26
FNDB,0.9806451612903225,16,1390,9,620,608,2015-10-02
FNDC,0.8129370629370629,45,1390,13,1716,1395,2014-10-03
FNDE,0.7250996015936255,13,1390,10,502,364,2018-02-14
FNDF,0.7027506654835848,88,1390,12,3381,2376,2018-11-15
FNDX,0.95,1,1390,7,40,38,2014-12-29
FNGD,0.6127450980392157,5,273,8,204,125,2019-01-22
FNGU,0.957983193277311,3,273,7,119,114,2018-12-26
FNI,0.84491587417703,33,2300,9,1367,1155,2018-12-26
FNK,1.1196172248803828,39,1973,10,1254,1404,2018-12-26
FNX,1.0561224489795917,3,2300,9,196,207,2018-12-26
FNY,0.9948586118251928,18,1973,8,778,774,2018-12-26
FPA,0.8211920529801324,24,1973,8,906,744,2018-11-28
FPE,0.6421009771986971,83,1518,10,2456,1577,2014-12-16
FPX,1.0434782608695652,3,2300,8,207,216,2018-12-26
FPXI,0.7083333333333334,1,1077,7,48,34,2018-01-17
FRAK,0.34210526315789475,1,1766,7,38,13,2013-11-08
FREL,0.8308270676691729,17,1019,11,532,442,2015-09-16
FRLG,1.1428571428571428,5,225,10,455,520,2018-12-26
FRN,0.5454545454545454,3,2300,7,77,42,2015-11-18
FTA,1.0985915492957747,3,2300,8,142,156,2018-12-26
FTAG,0.28433734939759037,59,2240,18,4980,1416,2015-07-14
FTC,1.1,5,2300,8,300,330,2018-12-26
FTGC,0.4351145038167939,18,1342,8,786,342,2014-07-14
FTHI,0.7218259629101283,23,1291,7,701,506,2015-07-10
FTRI,0.3187855787476281,70,2240,13,2635,840,2015-08-04
FTSD,0.9047619047619048,2,1333,7,210,190,2018-03-01
FTVA,0.7584269662921348,5,2056,8,178,135,2018-12-26
FTXL,0.8044692737430168,9,609,9,358,288,2018-10-09
FUD,0.46041666666666664,13,2300,8,480,221,2014-06-06
FUE,0.3088235294117647,3,2300,8,68,21,2011-09-09
FVL,0.65625,4,2300,7,128,84,2018-10-16
FWDD,1.0392156862745099,5,1923,8,255,265,2015-01-21
FXA,0.8192307692307692,9,2300,7,780,639,2016-11-08
FXB,0.7455658256307769,47,2300,10,8006,5969,2016-07-12
FXCH,0.9057071960297767,5,1858,8,403,365,2016-12-21
FXD,1.05,7,2300,7,280,294,2018-12-26
FXE,0.7720090293453724,19,2300,10,2658,2052,2016-05-11
