,Change,Shares,DataSize,LoseStreak,Invested,CurrentValue,LastPurchase
VFMF,0.9459459459459459,5,256,9,407,385,2018-12-26
VFMO,1.0486725663716814,3,255,9,226,237,2018-12-26
VFQY,0.9452954048140044,16,256,9,1371,1296,2018-12-26
VFVA,0.9669211195928753,10,256,12,786,760,2018-12-26
VGIT,0.9014084507042254,3,2300,7,213,192,2010-12-17
VGK,0.893760539629005,10,2300,8,593,530,2010-12-01
VGLT,0.8509297195083517,36,2300,9,3173,2700,2016-07-13
VGT,1.5662759242560866,9,2300,9,1109,1737,2018-12-26
VHT,1.185017026106697,6,2300,9,881,1044,2018-12-26
VIG,1.1921875,7,2300,9,640,763,2018-12-26
VIGI,0.9413020277481323,14,750,8,937,882,2017-05-05
VIIX,0.032773969904671865,32,2071,10,12693,416,2017-02-15
VIOG,1.149241819632881,9,2128,11,1253,1440,2018-12-26
VIOO,1.171981776765376,14,2128,12,1756,2058,2018-12-26
VIOV,1.3560789747142363,29,2128,11,2887,3915,2018-12-26
VIS,1.1282051282051282,4,2300,10,507,572,2018-12-26
VIXM,0.2656758012076173,26,2047,9,2153,572,2018-06-07
VIXY,0.020103677537012307,56,2047,13,69639,1400,2018-07-27
VLU,0.9862695803519629,50,1590,9,5171,5100,2018-12-26
VLUE,1.0049019607843137,5,1473,11,408,410,2018-12-26
VMBS,0.8387096774193549,1,2300,7,62,52,2012-07-06
VNM,0.5634285714285714,58,2300,13,1750,986,2013-05-24
VNQ,1.0897435897435896,2,2300,7,156,170,2013-08-09
VNQI,0.9069017415609546,74,2091,11,4651,4218,2016-11-15
VO,1.0310108739428112,16,2300,12,2483,2560,2018-12-26
VOE,1.3246527777777777,14,2300,10,1152,1526,2018-12-26
VONE,1.1846628470691936,21,2119,10,2269,2688,2018-12-26
VONG,1.0506912442396312,6,2119,10,868,912,2018-12-26
VONV,1.2297387809778968,17,2119,11,1493,1836,2018-12-26
VOO,1.321075523922499,13,2128,10,2529,3341,2018-12-26
VOOG,1.4065202927478377,14,2128,10,1503,2114,2018-12-26
VOOV,1.1065989847715736,20,2128,14,1970,2180,2018-12-26
VOT,1.0261744966442954,11,2300,11,1490,1529,2018-12-26
VOX,0.9903409090909091,21,2300,9,1760,1743,2018-12-26
VPU,1.1060965954077593,11,2300,8,1263,1397,2017-07-17
VQT,1.1698564593301435,3,2133,8,418,489,2012-10-31
VSL,2.1540983606557376,73,1956,11,915,1971,2011-04-04
VSS,1.0026780931976433,18,2300,9,1867,1872,2018-12-26
VT,1.095,6,2300,7,400,438,2018-12-26
VTHR,1.0543657331136738,10,2119,7,1214,1280,2018-12-26
VTI,1.0783410138248848,13,2300,11,1736,1872,2018-12-26
VTV,1.202226345083488,6,2300,10,539,648,2018-12-26
VTWG,1.1809954751131222,9,2119,9,1105,1305,2018-12-26
VTWO,1.3247566063977747,15,2119,9,1438,1905,2018-12-26
VTWV,1.1730132450331126,13,2119,11,1208,1417,2018-12-26
VUG,1.3075268817204302,8,2300,9,930,1216,2018-12-26
VUSE,0.8888888888888888,1,1281,7,36,32,2014-11-20
VV,1.051334702258727,4,2300,10,487,512,2018-12-26
VWO,0.8718214841722886,40,2300,9,1927,1680,2015-08-24
VWOB,0.8938640132669984,14,1441,10,1206,1078,2016-05-25
VXF,1.1711711711711712,10,2300,11,999,1170,2018-12-26
VXUS,0.9032258064516129,14,2030,9,806,728,2018-10-26
VXXB,0.6595744680851063,1,271,7,47,31,2019-01-16
VYM,1.72,9,2300,10,450,774,2018-12-26
VYMI,0.9172932330827067,10,750,8,665,610,2018-02-06
WDIV,0.9921602787456446,17,1444,8,1148,1139,2018-12-26
WDRW,0.15575524176294395,14,884,8,2337,364,2016-02-09
WFHY,0.8450704225352113,6,711,7,355,300,2018-08-22
WIL,0.89749430523918,197,1163,10,14926,13396,2018-07-06
WIP,0.8512315270935961,16,2300,8,1015,864,2018-08-17
WLDR,0.6707272056109266,79,277,8,2709,1817,2018-07-06
WMW,1.6175024582104227,47,2300,9,1017,1645,2013-08-20
