,Start,High,Low,Last,Drop,Recover,TotalChange,Score,HighDate,LowDate,DropTime
EXPE,144.07,154.24,98.52,126.16,0.639,1.281,0.876,2.757,2017-10-20,2018-02-09,76
VMC,117.53,141.2,82.52,111.41,0.584,1.35,0.948,2.684,2018-01-26,2018-10-29,191
LH,159.16,190.36,119.38,147.09,0.627,1.232,0.924,2.704,2018-06-11,2018-12-26,137
HCP,30.28,31.88,21.48,30.8,0.674,1.434,1.017,3.304,2019-02-14,2018-03-01,287
INCY,125.07,125.83,57.0,86.88,0.453,1.524,0.695,2.01,2017-09-12,2018-12-24,323
CMG,305.35,612.6,247.52,596.66,0.404,2.411,1.954,3.527,2019-02-12,2018-02-09,274
K,68.69,74.98,54.14,55.66,0.722,1.028,0.81,2.654,2018-09-17,2019-02-11,100
AJG,60.13,81.09,59.28,80.34,0.731,1.355,1.336,3.934,2019-02-22,2017-09-13,171
HST,18.23,22.47,15.94,19.8,0.709,1.242,1.086,3.301,2018-06-01,2018-12-24,142
ARE,120.57,137.41,109.04,136.02,0.794,1.247,1.128,3.772,2019-02-22,2018-12-26,494
AAL,45.9,59.08,28.81,35.9,0.488,1.246,0.782,1.979,2018-01-16,2019-01-03,243
ANSS,129.49,190.45,119.2,175.01,0.626,1.468,1.352,3.531,2018-09-14,2017-09-26,180
LEN,50.8751,72.17,37.29,49.64,0.517,1.331,0.976,2.385,2018-01-22,2018-12-26,234
SWKS,107.6,117.65,60.12,82.39,0.511,1.37,0.766,2.183,2017-11-06,2019-01-03,290
SYMC,32.91,34.2,17.43,22.64,0.51,1.299,0.688,2.027,2017-09-20,2018-12-26,318
HES,41.08,74.81,35.59,57.54,0.476,1.617,1.401,2.873,2018-10-01,2018-12-26,59
ANET,175.64,313.367,172.14,279.3,0.549,1.623,1.59,3.528,2018-08-24,2017-09-13,171
RMD,81.26,118.5,75.28,101.66,0.635,1.35,1.251,3.303,2019-01-18,2017-09-27,181
MGM,33.09,38.41,21.62,27.7,0.563,1.281,0.837,2.385,2018-01-29,2018-12-26,229
COO,253.39,295.1,216.47,294.6,0.734,1.361,1.163,3.705,2019-02-25,2018-04-04,310
CMA,68.04,102.66,63.69,87.12,0.62,1.368,1.28,3.284,2018-03-12,2018-12-26,200
