,Start,High,Low,Last,Drop,Recover,TotalChange,Score,HighDate,LowDate,DropTime
CPRI,42.32,75.96,35.68,45.17,0.47,1.266,1.067,2.193,2018-08-22,2018-12-24,85
XRX,32.34,37.42,18.58,31.48,0.497,1.694,0.973,2.651,2018-01-31,2018-12-26,227
PRGO,84.68,95.93,36.28,48.81,0.378,1.345,0.576,1.452,2018-01-26,2018-12-24,229
LB,38.37,63.1,23.71,27.67,0.376,1.167,0.721,1.42,2017-12-26,2018-12-24,250
HOG,47.61,56.5,31.36,37.59,0.555,1.199,0.79,2.208,2018-01-29,2018-12-24,228
LEG,45.38,51.99,33.48,46.07,0.644,1.376,1.015,3.08,2017-10-27,2018-12-26,291
FLS,40.39,56.86,35.88,46.35,0.631,1.292,1.148,3.079,2018-09-19,2018-12-24,66
HP,47.06,75.02,44.56,54.86,0.594,1.231,1.166,2.848,2018-01-29,2018-12-26,229
ROL,29.7267,42.9467,28.5467,39.17,0.665,1.372,1.318,3.578,2018-12-04,2017-10-31,205
TRIP,44.5,69.0,29.5,53.17,0.428,1.802,1.195,2.565,2018-11-08,2017-11-15,216
AMG,178.27,217.0,88.47,110.34,0.408,1.247,0.619,1.523,2018-01-26,2018-12-26,230
IPGP,178.13,264.11,104.64,161.18,0.396,1.54,0.905,1.936,2018-01-16,2018-12-24,237
JEF,28.08,28.17,16.2,20.29,0.575,1.252,0.723,2.271,2018-01-16,2018-12-26,238
FLR,39.48,62.09,29.78,37.96,0.48,1.275,0.961,2.147,2018-01-24,2018-12-24,231
PWR,36.26,40.1,27.9,36.55,0.696,1.31,1.008,3.227,2018-01-04,2018-12-24,244
GPS,26.53,35.68,24.25,25.13,0.68,1.036,0.947,2.697,2018-01-23,2018-11-20,210
BHF,55.11,67.55,28.52,43.43,0.422,1.523,0.788,1.95,2018-01-29,2018-12-26,229
AIZ,93.45,111.43,82.31,99.06,0.739,1.203,1.06,3.345,2018-07-27,2018-12-26,104
HRB,25.87,29.81,22.45,24.25,0.753,1.08,0.937,3.038,2018-06-12,2018-06-28,12
COTY,16.78,21.68,5.91,11.16,0.273,1.888,0.665,1.394,2018-02-20,2018-12-26,214
JWN,44.89,67.75,37.79,44.81,0.558,1.186,0.998,2.437,2018-11-06,2017-11-08,211
NWSA,13.3,17.29,10.65,13.02,0.616,1.223,0.979,2.713,2018-01-17,2018-12-26,237
MAT,15.58,19.21,9.09,13.99,0.473,1.539,0.898,2.305,2017-11-20,2018-12-26,275
MAC,54.37,69.73,40.9,43.9,0.587,1.073,0.807,2.207,2018-01-23,2018-12-26,233
DISCA,20.87,34.89,15.99,29.21,0.458,1.827,1.4,2.956,2018-11-08,2017-11-15,216
GT,32.0,36.07,17.88,20.08,0.496,1.123,0.627,1.736,2018-01-29,2019-02-11,260
UAA,17.37,24.96,11.4,21.8,0.457,1.912,1.255,2.895,2018-12-03,2017-11-06,209
UA,16.19,23.28,10.36,19.63,0.445,1.895,1.212,2.765,2018-12-03,2017-11-06,209
NWS,13.55,17.7,10.85,13.27,0.613,1.223,0.979,2.7,2018-01-17,2018-12-26,237
