,%Down,%Up,Change
LUV,0.333,0.25,0.9298
GIS,0.167,0.333,1.0455
OKE,0.167,0.333,1.0308
LYB,0.25,0.333,1.023
XEL,0.0,0.333,1.0577
VFC,0.167,0.167,1.0
LRCX,0.167,0.583,1.0287
WELL,0.333,0.333,0.974
APH,0.0,0.417,1.0562
WDAY,0.417,0.417,1.0319
GLW,0.0,0.167,1.0303
HAL,0.333,0.167,0.9688
ALXN,0.25,0.5,1.0574
STT,0.25,0.25,1.0286
AVB,0.25,0.417,1.0103
PPG,0.25,0.417,1.0472
EQR,0.167,0.333,1.0278
WP,0.167,0.417,1.0353
IR,0.167,0.583,1.0495
STZ,0.583,0.333,0.9713
MCK,0.333,0.417,1.0
CNC,0.333,0.25,1.0159
ZBH,0.167,0.417,1.0598
ED,0.0,0.417,1.0649
A,0.083,0.25,1.0263
FOX,0.0,0.25,1.0204
MTB,0.25,0.5,1.0683
PAYX,0.0,0.333,1.0274
DLR,0.25,0.75,1.0826
WEC,0.0,0.5,1.0556
HPE,0.0,0.083,1.0667
DFS,0.083,0.167,1.029
PCAR,0.083,0.417,1.0781
ADM,0.25,0.167,1.0244
FTV,0.083,0.417,1.0946
SYF,0.0,0.083,1.069
MNST,0.083,0.167,1.0175
CCL,0.083,0.167,1.0
IQV,0.25,0.5,1.1008
DLTR,0.167,0.083,1.0
PH,0.083,0.583,1.0606
HLT,0.083,0.417,1.1486
AZO,0.25,0.75,1.0471
PXD,0.417,0.5,1.0
TROW,0.167,0.333,1.0426
CMI,0.083,0.5,1.0544
VTR,0.333,0.333,1.0
PPL,0.083,0.25,1.0
TMUS,0.0,0.333,1.1061
KR,0.167,0.083,1.0
MSI,0.25,0.417,1.1681
AMD,0.333,0.167,1.0435
ES,0.0,0.25,1.0145
DTE,0.0,0.417,1.0513
WLTW,0.417,0.583,1.0364
APC,0.5,0.333,0.9348
LVS,0.083,0.25,1.0339
TWTR,0.25,0.167,0.8857
UAL,0.25,0.333,1.0
SQ,0.333,0.333,1.0556
APTV,0.083,0.417,1.0513
ROK,0.083,0.583,1.0529
TDG,0.25,0.5,1.0406
BXP,0.333,0.5,1.0227
SWK,0.167,0.5,1.0615
SBAC,0.417,0.25,0.9891
PANW,0.25,0.667,1.0502
O,0.167,0.25,1.0
MCHP,0.083,0.417,1.0114
CLX,0.25,0.5,1.0461
RCL,0.25,0.25,1.0345
GPN,0.167,0.667,1.1043
INFO,0.083,0.25,1.0192
CXO,0.333,0.5,0.9138
VRSK,0.083,0.5,1.0504
FLT,0.25,0.667,1.1176
ALGN,0.333,0.583,1.0369
HRS,0.167,0.417,1.051
EIX,0.167,0.583,1.0893
FE,0.0,0.167,1.0526
SPLK,0.333,0.5,1.0388
NUE,0.333,0.167,1.0
WY,0.083,0.083,1.0
IP,0.417,0.333,1.0
FCX,0.0,0.083,1.1818
NEM,0.0,0.167,1.0909
NTRS,0.25,0.333,1.0337
VRSN,0.25,0.417,1.0289
AMP,0.167,0.583,1.0806
KLAC,0.25,0.5,1.0755
TSN,0.167,0.417,1.0328
DXC,0.25,0.167,1.0312
BLL,0.25,0.25,1.0577
ESS,0.417,0.5,1.0144
CERN,0.083,0.333,1.0364
KEY,0.083,0.083,1.0625
FITB,0.167,0.167,1.0385
AME,0.083,0.5,1.0676
AWK,0.0,0.5,1.0526
FAST,0.083,0.167,1.0164
WAT,0.167,0.333,1.0173
CTAS,0.083,0.75,1.0681
IDXX,0.333,0.5,1.0097
CFG,0.0,0.167,1.0882
HIG,0.167,0.25,1.0
ULTA,0.167,0.667,1.058
AEE,0.0,0.583,1.0588
NTAP,0.167,0.417,0.9851
RSG,0.167,0.0,0.9872
FRC,0.167,0.25,1.0404
TSS,0.25,0.25,1.0109
RF,0.0,0.167,1.0667
MTD,0.417,0.583,1.0431
OMC,0.417,0.25,0.9615
LLL,0.167,0.583,1.0545
CBS,0.167,0.417,1.0408
ETR,0.083,0.583,1.0455
MKC,0.083,0.667,1.0887
CAH,0.25,0.5,1.08
IAC,0.5,0.25,1.0478
CHD,0.0,0.417,1.082
MYL,0.0,0.167,1.0333
FANG,0.333,0.417,1.0297
AMTD,0.167,0.083,1.0364
CBRE,0.0,0.417,1.087
GPC,0.0,0.333,1.0784
EVRG,0.083,0.25,0.9649
BMRN,0.667,0.25,0.8969
CNP,0.0,0.167,1.0333
ANET,0.167,0.667,1.2232
EXPE,0.333,0.25,1.0
HSY,0.0,0.583,1.0377
MXIM,0.167,0.083,1.0
CDNS,0.25,0.167,1.12
MSCI,0.333,0.417,1.0172
ABMD,0.417,0.5,1.0203
KEYS,0.167,0.417,1.0933
YUMC,0.25,0.25,1.025
HES,0.25,0.417,1.0556
SNPS,0.25,0.333,1.0408
LH,0.25,0.333,1.0496
CMS,0.0,0.167,1.0588
LNG,0.333,0.25,0.9848
HBAN,0.0,0.167,1.0769
VMC,0.417,0.333,1.0667
HCP,0.083,0.083,1.0
INCY,0.167,0.333,1.037
PFG,0.083,0.25,1.0833
AJG,0.167,0.25,1.0256
CSGP,0.333,0.583,1.0301
SWKS,0.5,0.333,1.0123
K,0.167,0.25,0.9492
CMG,0.417,0.417,1.1385
ANSS,0.167,0.333,1.0355
ARE,0.25,0.417,1.0543
HST,0.25,0.167,1.1111
AAL,0.167,0.25,0.9722
CTXS,0.25,0.25,0.9906
VEEV,0.5,0.417,1.0261
SYMC,0.083,0.167,1.0
MGM,0.333,0.083,0.931
LULU,0.333,0.583,1.0205
CMA,0.083,0.5,1.1139
RMD,0.083,0.583,1.0745
BBY,0.333,0.167,1.0169
LEN,0.167,0.583,1.087
MRO,0.083,0.25,1.0667
CDW,0.083,0.417,1.1176
DHI,0.167,0.25,1.0526
GWW,0.333,0.5,1.0435
DVN,0.333,0.25,1.1154
CE,0.333,0.5,1.0619
NLY,0.0,0.0,1.0
DRI,0.167,0.333,1.0278
COO,0.417,0.583,1.0542
WDC,0.417,0.417,1.0426
MKL,0.5,0.5,0.957
WCG,0.417,0.5,0.9892
BFB,0.0,0.0,1.0
TXT,0.0,0.083,1.0185
FDC,0.0,0.25,1.0
BHGE,0.167,0.167,1.04
ABC,0.333,0.25,1.0
LNC,0.0,0.417,1.069
CINF,0.333,0.333,1.0488
L,0.167,0.25,1.0
WYNN,0.167,0.583,1.0315
XYL,0.0,0.417,1.0571
DOV,0.167,0.583,1.0455
EFX,0.083,0.417,1.028
SIVB,0.333,0.583,1.0426
EXPD,0.083,0.417,1.0714
IFF,0.5,0.25,0.8951
APA,0.25,0.333,1.0312
CTL,0.0,0.083,0.9286
CHRW,0.083,0.417,1.0225
DXCM,0.75,0.25,0.9189
IT,0.333,0.25,1.0216
HOLX,0.0,0.167,1.0698
TFX,0.167,0.583,1.044
ACGL,0.0,0.083,1.0667
NRG,0.0,0.25,1.05
GDDY,0.167,0.333,1.1014
ETFC,0.083,0.417,1.0435
SSNC,0.083,0.333,1.1346
VMW,0.0,0.833,1.109
NCLH,0.25,0.25,1.0377
VAR,0.25,0.333,1.0076
DGX,0.083,0.5,1.0
MLM,0.5,0.333,1.0215
EMN,0.25,0.417,1.05
FTNT,0.333,0.417,1.0488
VNO,0.167,0.167,0.9714
MAA,0.167,0.25,1.0196
UDR,0.0,0.167,1.0
SJM,0.333,0.333,0.9619
WPC,0.083,0.25,1.0
TSCO,0.083,0.583,1.0787
FMC,0.0,0.583,1.0476
MOS,0.167,0.25,1.0323
CAG,0.083,0.333,1.0455
NBL,0.167,0.333,1.0455
TRU,0.083,0.417,1.0161
MAS,0.0,0.25,1.1212
KSU,0.167,0.417,1.0571
HRL,0.083,0.167,1.0
BR,0.333,0.25,0.9615
ALLY,0.083,0.167,1.0
UHS,0.25,0.417,1.0149
AAP,0.333,0.417,1.0
CPRT,0.083,0.333,1.1373
AES,0.083,0.167,1.0625
EXR,0.333,0.333,0.9592
TIF,0.167,0.25,1.0337
NOV,0.333,0.083,0.9333
KSS,0.5,0.25,0.9552
URI,0.167,0.417,1.0625
AKAM,0.417,0.417,1.0147
MRVL,0.083,0.25,1.0556
IEX,0.167,0.5,1.0511
KMX,0.333,0.25,0.9836
RJF,0.167,0.25,1.0247
COG,0.167,0.167,1.0
BURL,0.417,0.417,0.9371
LNT,0.167,0.25,1.0227
ATO,0.167,0.5,1.0421
CBOE,0.25,0.333,1.0105
PTC,0.167,0.417,1.0575
TAP,0.25,0.25,0.9242
DPZ,0.5,0.5,0.8966
DRE,0.083,0.083,1.0345
VST,0.0,0.0,1.04
ZBRA,0.167,0.667,1.1508
LW,0.167,0.083,0.9859
FFIV,0.25,0.75,1.0617
STE,0.083,0.333,1.0427
CF,0.333,0.167,1.0476
VIAB,0.167,0.083,0.9667
NDAQ,0.083,0.333,1.0349
JKHY,0.417,0.167,1.0233
TEAM,0.25,0.333,1.0294
PKI,0.417,0.333,1.0109
PNW,0.0,0.333,1.069
SPR,0.333,0.583,1.0652
IRM,0.083,0.0,0.9722
ULTI,0.167,0.25,1.003
SIRI,0.083,0.167,1.0
LEA,0.333,0.417,1.0131
REG,0.25,0.25,1.0156
TRMB,0.0,0.25,1.0526
TPR,0.083,0.167,0.8974
HAS,0.25,0.083,0.9451
PCG,0.167,0.417,1.2857
TWLO,0.417,0.417,1.0175
ODFL,0.417,0.5,1.0709
EXAS,0.5,0.333,1.0575
TTWO,0.583,0.333,0.9062
BEN,0.0,0.167,1.0667
WRK,0.25,0.167,1.0263
FRT,0.25,0.417,1.015
ZION,0.083,0.333,1.0625
JBHT,0.25,0.5,1.0
TRGP,0.333,0.25,0.9535
ON,0.0,0.083,1.0
