,%Down,%Up,Change
TDS,0.167,0.167,0.9143
TWOU,0.167,0.75,1.1667
RBC,0.083,0.25,1.0244
EVR,0.333,0.333,1.0225
USG,0.0,0.0,1.0
VVV,0.167,0.25,0.8636
FHB,0.0,0.0,1.0385
THO,0.167,0.333,1.0781
EXP,0.167,0.583,1.0822
WRI,0.0,0.0,1.0
NEU,0.333,0.667,1.1
NUS,0.083,0.5,0.9846
FCNCA,0.0,0.75,1.0733
MANH,0.083,0.333,1.0189
WEN,0.083,0.083,1.0
BOH,0.0,0.333,1.038
NCR,0.083,0.083,1.0
UFS,0.167,0.25,1.0612
GDI,0.083,0.333,1.0833
STAY,0.167,0.25,1.0
CIM,0.083,0.0,0.9474
SRC,0.167,0.25,1.0
TWO,0.083,0.0,0.9286
SNH,0.083,0.083,1.0769
LSXMA,0.0,0.083,1.0
R,0.083,0.333,1.0862
FEYE,0.167,0.083,0.8889
SMG,0.25,0.25,1.0395
NAVI,0.0,0.083,1.0909
THS,0.083,0.5,1.0345
MFA,0.0,0.0,1.0
MD,0.083,0.167,0.9722
CLGX,0.333,0.417,1.0526
AWI,0.083,0.167,1.0735
PSTG,0.0,0.25,1.0556
COLM,0.333,0.333,1.1413
REZI,0.0,0.167,1.087
H,0.167,0.417,1.0714
OI,0.0,0.167,1.0526
MIC,0.0,0.083,0.9302
HGV,0.083,0.25,1.0667
COHR,0.25,0.667,1.0968
CMD,0.083,0.417,1.061
PGRE,0.0,0.0,1.0
TCO,0.167,0.25,1.06
APY,0.083,0.333,1.1765
CLH,0.25,0.25,1.0
PTEN,0.167,0.167,1.0833
CNDT,0.0,0.167,1.1538
TCBI,0.167,0.167,1.0339
VMI,0.25,0.417,1.0538
TKR,0.083,0.083,1.0
BOKF,0.083,0.583,1.0952
CLNY,0.0,0.0,1.2
CPA,0.417,0.167,0.9082
MTCH,0.333,0.167,1.0755
DKS,0.167,0.167,1.0278
SFM,0.083,0.083,0.9583
SCCO,0.25,0.25,1.0909
GHC,0.333,0.5,1.0318
AGR,0.0,0.25,1.0
CHH,0.167,0.333,1.0125
BDN,0.083,0.083,1.0
OUT,0.083,0.083,1.0
AGIO,0.5,0.417,1.0741
AMCX,0.25,0.417,0.9844
WLK,0.25,0.417,0.9868
ENR,0.25,0.333,1.0
WTM,0.167,0.75,1.036
CBT,0.167,0.5,1.093
CHK,0.0,0.0,1.0
CXP,0.083,0.083,1.0
OFC,0.083,0.25,1.04
UHAL,0.5,0.417,1.0444
OMF,0.25,0.25,1.1
UNVR,0.0,0.25,1.0952
TPX,0.25,0.5,1.0741
WCC,0.167,0.083,1.0185
RPAI,0.083,0.083,1.0
LM,0.0,0.25,1.0345
BFA,0.0,0.0,1.0
WLL,0.083,0.167,1.0357
VC,0.25,0.5,1.141
BPR,0.25,0.167,1.1111
ESI,0.0,0.0,1.0
TEX,0.0,0.25,1.129
PEGA,0.167,0.5,1.1228
ACHC,0.167,0.167,1.0
SC,0.0,0.083,1.0526
AR,0.083,0.083,1.0
SPB,0.25,0.417,0.9123
CFX,0.0,0.167,1.04
MORN,0.25,0.333,1.008
SLGN,0.0,0.083,1.0
LBRDA,0.25,0.583,1.0114
RRC,0.167,0.167,1.0
CDEV,0.083,0.083,1.0
JWA,0.0,0.083,1.0196
ESRT,0.0,0.0,1.0
URBN,0.167,0.167,0.9677
RLGY,0.083,0.083,1.0588
CVET,0.545,0.364,0.8222
CNX,0.167,0.083,1.0
UBNT,0.083,0.75,1.3241
WBT,0.083,0.167,1.0714
ELAN,0.0,0.25,1.0357
AN,0.333,0.417,0.9487
FTDR,0.167,0.167,0.9655
ZG,0.167,0.417,1.2647
SITC,0.083,0.0,1.0
ADNT,0.167,0.5,1.05
PINC,0.333,0.417,0.9231
SATS,0.167,0.25,0.9512
SM,0.333,0.333,0.8889
QEP,0.167,0.0,0.875
FND,0.083,0.417,1.1562
CDAY,0.083,0.417,1.1163
PAG,0.417,0.333,0.8958
IGT,0.083,0.167,1.0625
HAIN,0.083,0.333,1.0
UNIT,0.167,0.083,0.45
BGCP,0.0,0.0,1.0
MIK,0.167,0.083,0.9286
ACA,0.083,0.25,1.069
NWS,0.0,0.167,1.0
MCY,0.25,0.417,1.0192
KOS,0.0,0.0,1.0
CNA,0.083,0.083,0.9348
GTX,0.25,0.333,1.0
ANAT,0.083,0.583,1.0851
SEB,0.25,0.667,1.0599
SNDR,0.167,0.25,1.0
NBR,0.083,0.083,1.0
PPC,0.083,0.333,1.0
VIRT,0.167,0.083,1.0
TFSL,0.0,0.083,1.0625
EAF,0.083,0.167,1.0769
ADT,0.083,0.083,1.1429
FWONA,0.167,0.25,1.0
ESTC,0.25,0.417,1.0444
GTES,0.167,0.25,1.0667
PS,0.333,0.083,0.9355
USM,0.417,0.333,0.8909
RES,0.25,0.083,0.9091
LENB,0.0,1.0,1.0256
RVI,0.25,0.167,1.0
SWI,0.167,0.167,1.0
XOG,0.0,0.0,1.3333
VIA,0.0,0.083,1.0
SWCH,0.083,0.083,1.0
ARD,0.167,0.167,1.0
